iterations;timeInMSec;bestFitness;averageFitness;mutations;cruces;
1;204;2.532671461857968E-5;2.3915738324741576E-5;23;99;
2;306;2.550239722533918E-5;2.4011833070395526E-5;40;198;
3;408;2.553626149131767E-5;2.4156009450446506E-5;54;297;
4;510;2.553626149131767E-5;2.4203371661718608E-5;70;396;
5;614;2.5722810988784854E-5;2.4218135733817765E-5;97;495;
6;716;2.5722810988784854E-5;2.4448804730352637E-5;119;594;
7;816;2.6385224274406334E-5;2.461758984141255E-5;136;693;
8;916;2.649146974674155E-5;2.4693571272883954E-5;157;792;
9;1014;2.649146974674155E-5;2.4854233376246215E-5;175;891;
10;1116;2.649146974674155E-5;2.4844609289331683E-5;196;990;
11;1216;2.649146974674155E-5;2.4925980511760146E-5;224;1089;
12;1316;2.6499894000423998E-5;2.491389870951022E-5;242;1188;
13;1414;2.6692291266282297E-5;2.49334930608312E-5;258;1287;
14;1514;2.6844196284763233E-5;2.51799369395715E-5;270;1386;
15;1614;2.6844196284763233E-5;2.5202267295366447E-5;293;1485;
16;1714;2.6986183074265975E-5;2.5363844484573264E-5;307;1584;
17;1812;2.750577621300473E-5;2.5433972305155573E-5;323;1683;
18;1911;2.750577621300473E-5;2.559441777542148E-5;342;1782;
19;2012;2.7609055770292657E-5;2.576236595091748E-5;370;1881;
20;2112;2.77623542476402E-5;2.582453566619487E-5;385;1980;
21;2211;2.77623542476402E-5;2.577586444629016E-5;407;2079;
22;2312;2.7808676307007788E-5;2.59053606016234E-5;425;2178;
23;2412;2.787068004459309E-5;2.589621220557764E-5;442;2277;
24;2511;2.790801518196026E-5;2.5882079473945512E-5;462;2376;
25;2608;2.790801518196026E-5;2.6019271339243523E-5;486;2475;
26;2704;2.8008066323101054E-5;2.5930689363124155E-5;506;2574;
27;2801;2.8137310073157006E-5;2.5982204060301222E-5;525;2673;
28;2898;2.8137310073157006E-5;2.6030604043719916E-5;541;2772;
29;2996;2.8137310073157006E-5;2.6077805306413013E-5;563;2871;
30;3092;2.8137310073157006E-5;2.5972759865867742E-5;586;2970;
31;3189;2.8137310073157006E-5;2.6083688765110255E-5;603;3069;
32;3287;2.8137310073157006E-5;2.619519770401146E-5;626;3168;
33;3384;2.8137310073157006E-5;2.6383395814593163E-5;649;3267;
34;3481;2.817536346218866E-5;2.6434704901285405E-5;670;3366;
35;3578;2.817536346218866E-5;2.6357005574042366E-5;692;3465;
36;3676;2.817536346218866E-5;2.636608414215582E-5;710;3564;
37;3774;2.818807080843387E-5;2.6337228854095873E-5;730;3663;
38;3870;2.8428473959517852E-5;2.6582112094559604E-5;754;3762;
39;3968;2.8428473959517852E-5;2.654604757927463E-5;775;3861;
40;4069;2.8604118993135013E-5;2.6434903765551283E-5;796;3960;
41;4165;2.8617216117216117E-5;2.6464546375183706E-5;819;4059;
42;4263;2.8617216117216117E-5;2.6595202490441666E-5;840;4158;
43;4361;2.8772010588099897E-5;2.664002488398969E-5;872;4257;
44;4460;2.8772010588099897E-5;2.6741999480538833E-5;889;4356;
45;4559;2.877863474156786E-5;2.6698394433685452E-5;913;4455;
46;4656;2.877863474156786E-5;2.6694095907152136E-5;935;4554;
47;4754;2.877863474156786E-5;2.682945344410603E-5;954;4653;
48;4853;2.8851702250432774E-5;2.6750002382413477E-5;977;4752;
49;4950;2.8885037550548817E-5;2.6891538001475723E-5;999;4851;
50;5048;2.922609305588029E-5;2.7096544668758696E-5;1019;4950;
51;5147;2.922609305588029E-5;2.70941296306534E-5;1037;5049;
