Train;Test;Size;Depth;Generaciones;Distintos;Regla;Monticulo;
1860.96;1880.347;7;3;5;893;((Math.min(instancia.d[tarea],intervalo.inicio))-(instancia.d[tarea]+instancia.p[tarea]));- Math.min + instancia.d[tarea] intervalo.inicio instancia.d[tarea] instancia.p[tarea] null null null null null null null null ;
1860.96;1880.347;7;3;13;1796;((Math.min(instancia.d[tarea],intervalo.inicio))-(instancia.d[tarea]+instancia.p[tarea]));- Math.min + instancia.d[tarea] intervalo.inicio instancia.d[tarea] instancia.p[tarea] null null null null null null null null ;
1831.16;1866.241;13;4;21;2702;(((Math.min(instancia.d[tarea],intervalo.inicio))+(promedioDuraciones()-instancia.p[tarea]))-(instancia.d[tarea]-(Math.max(promedioDuraciones(),instancia.p[tarea]))));- + - Math.min - instancia.d[tarea] Math.max instancia.d[tarea] intervalo.inicio promedioDuraciones() instancia.p[tarea] null null promedioDuraciones() instancia.p[tarea] ;
1820.0;1845.268;13;4;29;3552;(((Math.min(intervalo.inicio,instancia.d[tarea]))+(intervalo.inicio-instancia.p[tarea]))-(instancia.d[tarea]-(Math.max(promedioDuraciones(),instancia.p[tarea]))));- + - Math.min - instancia.d[tarea] Math.max intervalo.inicio instancia.d[tarea] intervalo.inicio instancia.p[tarea] null null promedioDuraciones() instancia.p[tarea] ;
1820.0;1845.268;13;4;38;4413;(((Math.min(intervalo.inicio,instancia.d[tarea]))+(intervalo.inicio-instancia.p[tarea]))-(instancia.d[tarea]-(Math.max(promedioDuraciones(),instancia.p[tarea]))));- + - Math.min - instancia.d[tarea] Math.max intervalo.inicio instancia.d[tarea] intervalo.inicio instancia.p[tarea] null null promedioDuraciones() instancia.p[tarea] ;
1820.0;1845.268;13;4;48;5267;(((Math.min(intervalo.inicio,instancia.d[tarea]))+(intervalo.inicio-instancia.p[tarea]))-(instancia.d[tarea]-(Math.max(promedioDuraciones(),instancia.p[tarea]))));- + - Math.min - instancia.d[tarea] Math.max intervalo.inicio instancia.d[tarea] intervalo.inicio instancia.p[tarea] null null promedioDuraciones() instancia.p[tarea] ;
1820.0;1845.268;13;4;60;6123;(((Math.min(intervalo.inicio,instancia.d[tarea]))+(intervalo.inicio-instancia.p[tarea]))-(instancia.d[tarea]-(Math.max(promedioDuraciones(),instancia.p[tarea]))));- + - Math.min - instancia.d[tarea] Math.max intervalo.inicio instancia.d[tarea] intervalo.inicio instancia.p[tarea] null null promedioDuraciones() instancia.p[tarea] ;
1795.8;1813.095;13;4;73;6951;(((Math.min(instancia.d[tarea],intervalo.inicio))+(intervalo.inicio-instancia.p[tarea]))-(instancia.d[tarea]-(Math.min(promedioDuraciones(),instancia.p[tarea]))));- + - Math.min - instancia.d[tarea] Math.min instancia.d[tarea] intervalo.inicio intervalo.inicio instancia.p[tarea] null null promedioDuraciones() instancia.p[tarea] ;
1793.98;1818.277;13;4;86;7750;(((Math.min(instancia.d[tarea],intervalo.inicio))+(intervalo.inicio-instancia.p[tarea]))-(instancia.d[tarea]-(instancia.p[tarea]*0.5)));- + - Math.min - instancia.d[tarea] * instancia.d[tarea] intervalo.inicio intervalo.inicio instancia.p[tarea] null null instancia.p[tarea] 0.5 ;
1793.98;1818.277;13;4;98;8569;(((Math.min(instancia.d[tarea],intervalo.inicio))+(intervalo.inicio-instancia.p[tarea]))-(instancia.d[tarea]-(instancia.p[tarea]*0.5)));- + - Math.min - instancia.d[tarea] * instancia.d[tarea] intervalo.inicio intervalo.inicio instancia.p[tarea] null null instancia.p[tarea] 0.5 ;
