Cabecera;Train;Test;Size;Depth;Generaciones;Distintos;Regla;Monticulo;
C:/Users/luisb/Desktop/Experimento_Presentacion/gp_60_60_4_4_0_1_1_0.05_0_10_0_GMT_19.49.50_20.04.2021.csv;1624.6;1642.028;13;4;4;50625;((Math.min((instancia.d[tarea]-instancia.p[tarea]),intervalo.inicio))+((instancia.p[tarea]*0.7)-(instancia.d[tarea]-intervalo.inicio)));+ Math.min - - intervalo.inicio * - instancia.d[tarea] instancia.p[tarea] null null instancia.p[tarea] 0.7 instancia.d[tarea] intervalo.inicio ;
C:/Users/luisb/Desktop/Experimento_Presentacion/gp_60_60_4_4_0_1_1_0.05_0_10_0_GMT_19.51.05_20.04.2021.csv;1624.6;1642.028;13;4;4;52253;((Math.min((instancia.d[tarea]-instancia.p[tarea]),intervalo.inicio))+((instancia.p[tarea]*0.7)-(instancia.d[tarea]-intervalo.inicio)));+ Math.min - - intervalo.inicio * - instancia.d[tarea] instancia.p[tarea] null null instancia.p[tarea] 0.7 instancia.d[tarea] intervalo.inicio ;
C:/Users/luisb/Desktop/Experimento_Presentacion/gp_60_60_4_4_0_1_1_0.05_0_10_0_GMT_19.52.05_20.04.2021.csv;1626.9;1642.144;12;4;5;50842;(((intervalo.inicio+instancia.p[tarea])*(Math.pow(0.8,2)))-(Math.max(instancia.p[tarea],(instancia.d[tarea]-intervalo.inicio))));- * Math.max + Math.pow instancia.p[tarea] - intervalo.inicio instancia.p[tarea] 0.8 null null null instancia.d[tarea] intervalo.inicio ;
C:/Users/luisb/Desktop/Experimento_Presentacion/gp_60_60_4_4_0_1_1_0.05_0_10_0_GMT_19.53.20_20.04.2021.csv;1616.54;1642.709;15;4;3;50544;(((promedioDuraciones()/0.9)+(Math.min(intervalo.inicio,instancia.p[tarea])))/(Math.max((instancia.d[tarea]-intervalo.inicio),(instancia.p[tarea]*0.9))));/ + Math.max / Math.min - * promedioDuraciones() 0.9 intervalo.inicio instancia.p[tarea] instancia.d[tarea] intervalo.inicio instancia.p[tarea] 0.9 ;
C:/Users/luisb/Desktop/Experimento_Presentacion/gp_60_60_4_4_0_1_1_0.05_0_10_0_GMT_19.54.35_20.04.2021.csv;1624.6;1642.028;13;4;5;51141;(((instancia.p[tarea]*0.7)-(instancia.d[tarea]-intervalo.inicio))+(Math.min((instancia.d[tarea]-instancia.p[tarea]),intervalo.inicio)));+ - Math.min * - - intervalo.inicio instancia.p[tarea] 0.7 instancia.d[tarea] intervalo.inicio instancia.d[tarea] instancia.p[tarea] null null ;
C:/Users/luisb/Desktop/Experimento_Presentacion/gp_60_60_4_4_0_1_1_0.05_0_10_0_GMT_19.55.50_20.04.2021.csv;1624.6;1642.028;13;4;4;50395;(((instancia.p[tarea]*0.7)-(instancia.d[tarea]-intervalo.inicio))+(Math.min((instancia.d[tarea]-instancia.p[tarea]),intervalo.inicio)));+ - Math.min * - - intervalo.inicio instancia.p[tarea] 0.7 instancia.d[tarea] intervalo.inicio instancia.d[tarea] instancia.p[tarea] null null ;
C:/Users/luisb/Desktop/Experimento_Presentacion/gp_60_60_4_4_0_1_1_0.05_0_10_0_GMT_19.56.50_20.04.2021.csv;1616.54;1642.709;15;4;2;49401;(((promedioDuraciones()/0.9)+(Math.min(intervalo.inicio,instancia.p[tarea])))/(Math.max((instancia.p[tarea]*0.9),(instancia.d[tarea]-intervalo.inicio))));/ + Math.max / Math.min * - promedioDuraciones() 0.9 intervalo.inicio instancia.p[tarea] instancia.p[tarea] 0.9 instancia.d[tarea] intervalo.inicio ;
C:/Users/luisb/Desktop/Experimento_Presentacion/gp_60_60_4_4_0_1_1_0.05_0_10_0_GMT_19.57.50_20.04.2021.csv;1698.76;1724.066;9;4;4;49499;(promedioDuraciones()/(Math.max((instancia.d[tarea]/0.9),(intervalo.inicio+instancia.p[tarea]))));/ promedioDuraciones() Math.max null null / + null null null null instancia.d[tarea] 0.9 intervalo.inicio instancia.p[tarea] ;
C:/Users/luisb/Desktop/Experimento_Presentacion/gp_60_60_4_4_0_1_1_0.05_0_10_0_GMT_19.59.05_20.04.2021.csv;1624.6;1642.028;13;4;6;48949;((Math.min((instancia.d[tarea]-instancia.p[tarea]),intervalo.inicio))+((instancia.p[tarea]*0.7)-(instancia.d[tarea]-intervalo.inicio)));+ Math.min - - intervalo.inicio * - instancia.d[tarea] instancia.p[tarea] null null instancia.p[tarea] 0.7 instancia.d[tarea] intervalo.inicio ;
C:/Users/luisb/Desktop/Experimento_Presentacion/gp_60_60_4_4_0_1_1_0.05_0_10_0_GMT_20.00.05_20.04.2021.csv;1650.66;1678.14;13;4;5;49520;(Math.min(((intervalo.inicio/0.5)-(Math.max(instancia.d[tarea],promedioDuraciones()))),(intervalo.inicio-(instancia.p[tarea]*0.7))));Math.min - - / Math.max intervalo.inicio * intervalo.inicio 0.5 instancia.d[tarea] promedioDuraciones() null null instancia.p[tarea] 0.7 ;
C:/Users/luisb/Desktop/Experimento_Presentacion/gp_60_60_4_4_0_1_1_0.05_0_10_0_GMT_20.01.20_20.04.2021.csv;1624.6;1642.198;11;4;5;50921;(((instancia.p[tarea]*0.7)+intervalo.inicio)-(Math.max(instancia.p[tarea],(instancia.d[tarea]-intervalo.inicio))));- + Math.max * intervalo.inicio instancia.p[tarea] - instancia.p[tarea] 0.7 null null null null instancia.d[tarea] intervalo.inicio ;
