iterations;bestFitness;averageFitness;mutations;cruces;
5;0.005681818181818182;0.0035984848484848487;157;745;
10;0.005681818181818182;0.0030303030303030286;317;1490;
15;0.005681818181818182;0.0035984848484848487;477;2235;
20;0.005681818181818182;0.0032954545454545433;632;2980;
25;0.005681818181818182;0.0035606060606060605;786;3725;
30;0.005681818181818182;0.003522727272727272;945;4470;
35;0.005681818181818182;0.0032575757575757556;1098;5215;
40;0.005681818181818182;0.003522727272727272;1243;5960;
45;0.005681818181818182;0.0037500000000000016;1384;6705;
50;0.005681818181818182;0.0035606060606060605;1532;7450;
55;0.005681818181818182;0.0037121212121212135;1668;8195;
60;0.005681818181818182;0.0034469696969696957;1809;8940;
65;0.005681818181818182;0.0037500000000000016;1978;9685;
70;0.005681818181818182;0.0035984848484848487;2112;10430;
75;0.005681818181818182;0.0031818181818181798;2275;11175;
80;0.005681818181818182;0.0032575757575757556;2433;11920;
85;0.005681818181818182;0.003674242424242425;2587;12665;
90;0.005681818181818182;0.003674242424242425;2724;13410;
95;0.005681818181818182;0.003863636363636366;2878;14155;
100;0.005681818181818182;0.003484848484848484;3030;14900;
105;0.005681818181818182;0.0037121212121212135;3174;15645;
110;0.005681818181818182;0.003939393939393942;3322;16390;
115;0.005681818181818182;0.0037121212121212135;3461;17135;
120;0.005681818181818182;0.0037121212121212135;3627;17880;
125;0.005681818181818182;0.003522727272727272;3792;18625;
130;0.005681818181818182;0.003674242424242425;3949;19370;
135;0.005681818181818182;0.0037500000000000016;4093;20115;
140;0.005681818181818182;0.003825757575757578;4238;20860;
145;0.005681818181818182;0.003636363636363637;4380;21605;
150;0.005681818181818182;0.0037878787878787897;4520;22350;
155;0.005681818181818182;0.0037121212121212135;4655;23095;
160;0.005681818181818182;0.003863636363636366;4793;23840;
165;0.005681818181818182;0.004015151515151519;4936;24585;
170;0.005681818181818182;0.003674242424242425;5089;25330;
175;0.005681818181818182;0.003636363636363637;5225;26075;
180;0.005681818181818182;0.0037121212121212135;5365;26820;
185;0.005681818181818182;0.0034090909090909076;5523;27565;
190;0.005681818181818182;0.003636363636363637;5670;28310;
195;0.005681818181818182;0.0037878787878787897;5819;29055;
200;0.005681818181818182;0.0037121212121212135;5976;29800;
205;0.005681818181818182;0.003977272727272731;6113;30545;
210;0.005681818181818182;0.0040530303030303074;6249;31290;
215;0.005681818181818182;0.0034090909090909076;6410;32035;
220;0.005681818181818182;0.003333333333333331;6559;32780;
225;0.005681818181818182;0.003333333333333331;6708;33525;
230;0.005681818181818182;0.0034090909090909076;6865;34270;
235;0.005681818181818182;0.004090909090909096;7016;35015;
240;0.005681818181818182;0.0031818181818181798;7141;35760;
245;0.005681818181818182;0.003106060606060604;7292;36505;
250;0.005681818181818182;0.0034090909090909076;7430;37250;
255;0.005681818181818182;0.0033712121212121195;7572;37995;
260;0.005681818181818182;0.0034469696969696957;7709;38740;
265;0.005681818181818182;0.003636363636363637;7864;39485;
270;0.005681818181818182;0.0039015151515151545;8021;40230;
275;0.005681818181818182;0.0035606060606060605;8171;40975;
280;0.005681818181818182;0.0037121212121212135;8323;41720;
285;0.005681818181818182;0.0034469696969696957;8477;42465;
290;0.005681818181818182;0.003825757575757578;8634;43210;
295;0.005681818181818182;0.003484848484848484;8772;43955;
300;0.005681818181818182;0.0037500000000000016;8928;44700;
305;0.005681818181818182;0.0035984848484848487;9071;45445;
310;0.005681818181818182;0.0035984848484848487;9211;46190;
315;0.005681818181818182;0.0037878787878787897;9363;46935;
320;0.005681818181818182;0.003484848484848484;9523;47680;
325;0.005681818181818182;0.0035606060606060605;9678;48425;
330;0.005681818181818182;0.0037121212121212135;9843;49170;
335;0.005681818181818182;0.0037121212121212135;9978;49915;
340;0.005681818181818182;0.0035984848484848487;10132;50660;
345;0.005681818181818182;0.003484848484848484;10275;51405;
350;0.005681818181818182;0.0035984848484848487;10428;52150;
355;0.005681818181818182;0.0030681818181818163;10570;52895;
360;0.005681818181818182;0.0033712121212121195;10740;53640;
