iterations;bestFitness;averageFitness;mutations;cruces;
5;2.708852530068263E-5;2.6672015795221903E-5;14;45;
10;2.7289597205545246E-5;2.703952044270729E-5;24;90;
15;2.808673182788451E-5;2.7743527317359715E-5;31;135;
20;2.8584495769494626E-5;2.826874648495762E-5;39;180;
25;2.8808481216870245E-5;2.850627434150945E-5;50;225;
30;2.916472235184321E-5;2.896501144512871E-5;65;270;
35;2.9442939583087976E-5;2.924236705648435E-5;73;315;
40;2.9754820280885503E-5;2.9410980736666325E-5;83;360;
45;3.023705853894533E-5;2.9574089930764687E-5;93;405;
50;3.0581039755351684E-5;2.9975220468093553E-5;98;450;
55;3.11604138102954E-5;3.067842913074489E-5;106;495;
60;3.11604138102954E-5;3.09240518183465E-5;118;540;
65;3.15059861373661E-5;3.1227493569900145E-5;125;585;
70;3.176620076238882E-5;3.145371402650074E-5;131;630;
75;3.187962254526906E-5;3.120320898560133E-5;144;675;
80;3.2150205761316875E-5;3.1576355268316946E-5;154;720;
85;3.266692800209068E-5;3.201725845652689E-5;164;765;
90;3.268401098182769E-5;3.232393544676711E-5;170;810;
95;3.2968482131082684E-5;3.2649361968093017E-5;178;855;
100;3.316969616558312E-5;3.272831423424892E-5;187;900;
105;3.334222459322486E-5;3.289496523708278E-5;192;945;
110;3.334222459322486E-5;3.295236697866394E-5;201;990;
115;3.397200706617747E-5;3.344291596515059E-5;211;1035;
120;3.4050667393080905E-5;3.36377740764246E-5;218;1080;
125;3.4143676591095326E-5;3.3835515926048205E-5;224;1125;
130;3.466925530439606E-5;3.4325936788133333E-5;229;1170;
135;3.499440089585666E-5;3.4568652883822775E-5;239;1215;
140;3.499440089585666E-5;3.423661368571366E-5;250;1260;
145;3.514691410094194E-5;3.4583083100572096E-5;261;1305;
150;3.5390713476783694E-5;3.4722251013899544E-5;273;1350;
155;3.5390713476783694E-5;3.4988535251854115E-5;279;1395;
160;3.560239248077471E-5;3.506383323801912E-5;287;1440;
165;3.606462781304097E-5;3.5382563266799245E-5;294;1485;
170;3.606462781304097E-5;3.557382418261039E-5;304;1530;
175;3.6158518947063925E-5;3.5790454232009944E-5;310;1575;
180;3.619516432604604E-5;3.594285726497918E-5;321;1620;
185;3.658179689786362E-5;3.576341115111747E-5;334;1665;
190;3.658179689786362E-5;3.592012526196434E-5;347;1710;
195;3.675389591296677E-5;3.581848076634871E-5;355;1755;
200;3.675389591296677E-5;3.619314506735908E-5;365;1800;
205;3.7058997924696115E-5;3.675361989090096E-5;369;1845;
210;3.7458795325142346E-5;3.652123740834979E-5;379;1890;
215;3.797660641045116E-5;3.74241857457234E-5;384;1935;
220;3.850300323425227E-5;3.778358706719006E-5;390;1980;
225;3.850300323425227E-5;3.792674857693068E-5;398;2025;
230;3.8959015116097865E-5;3.8357804998173764E-5;404;2070;
235;3.937007874015748E-5;3.85233759369248E-5;414;2115;
240;3.948199620972836E-5;3.8976567259862415E-5;427;2160;
245;3.948199620972836E-5;3.8772618007308876E-5;440;2205;
250;3.9632213062777425E-5;3.8915508687619096E-5;447;2250;
255;3.9758269720101784E-5;3.869101743351911E-5;457;2295;
260;3.9758269720101784E-5;3.91367621820686E-5;468;2340;
265;3.9783577339274344E-5;3.931374013693048E-5;477;2385;
270;3.9936102236421726E-5;3.926078936805164E-5;491;2430;
275;3.9936102236421726E-5;3.911030979837776E-5;503;2475;
280;3.9936102236421726E-5;3.956250393601921E-5;514;2520;
285;4.005126561999359E-5;3.959016356469359E-5;519;2565;
290;4.005126561999359E-5;3.9549011215255684E-5;528;2610;
295;4.0154192097655E-5;3.938605882564898E-5;538;2655;
300;4.0154192097655E-5;3.9054742862437867E-5;549;2700;
305;4.0180006428801025E-5;3.929785416997296E-5;561;2745;
310;4.0180006428801025E-5;3.951196816285983E-5;569;2790;
315;4.0290088638195005E-5;3.947584316751843E-5;582;2835;
320;4.067024564828372E-5;3.984103604286173E-5;589;2880;
