iterations;bestFitness;averageFitness;mutations;cruces;
5;2.5544089097782772E-5;2.4621983602230846E-5;6;45;
10;2.5746652935118435E-5;2.5533245425716518E-5;12;90;
15;2.6003744539213646E-5;2.580659377733106E-5;22;135;
20;2.6471833968657347E-5;2.6230156984108047E-5;30;180;
25;2.6901969224147208E-5;2.6679640580783045E-5;41;225;
30;2.7406270554702917E-5;2.7161150211929053E-5;50;270;
35;2.765180842827121E-5;2.726402123932944E-5;61;315;
40;2.779939953297009E-5;2.76022254792743E-5;73;360;
45;2.7957951241333034E-5;2.766555400303497E-5;84;405;
50;2.833824529585128E-5;2.8041188326820662E-5;95;450;
