iterations;bestFitness;averageFitness;mutations;cruces;
5;2.2225640031756016E-5;2.1635533948287154E-5;16;95;
10;2.2585517804615393E-5;2.206861077658709E-5;33;190;
15;2.3125814606819536E-5;2.2511588463803377E-5;54;285;
20;2.3233747296753507E-5;2.2719975335987515E-5;73;380;
25;2.3390817045917588E-5;2.3017857166081376E-5;89;475;
30;2.351231692722232E-5;2.3147292566501035E-5;107;570;
35;2.361685525512817E-5;2.3442410271372177E-5;124;665;
40;2.3937016921077276E-5;2.36299036619365E-5;142;760;
45;2.3986049713486657E-5;2.3778419983754864E-5;162;855;
50;2.437831636521253E-5;2.3974583405344204E-5;179;950;
55;2.4443530799582124E-5;2.4243813159452772E-5;202;1045;
60;2.4852809237292125E-5;2.4490436207170243E-5;219;1140;
65;2.539699309760521E-5;2.504334351387094E-5;234;1235;
70;2.5776809944487064E-5;2.5474639013883885E-5;252;1330;
75;2.6208678741878593E-5;2.579641592460054E-5;263;1425;
80;2.634872538040972E-5;2.6130296484088273E-5;281;1520;
85;2.66214740523155E-5;2.6207357951763477E-5;299;1615;
90;2.687537726310836E-5;2.654109972493794E-5;322;1710;
95;2.70426532953366E-5;2.683063439303403E-5;344;1805;
100;2.737084927913392E-5;2.6894006350286288E-5;362;1900;
105;2.7572363668447867E-5;2.7188420529810232E-5;381;1995;
110;2.7586572180817863E-5;2.7272981758802142E-5;402;2090;
115;2.7775818039504954E-5;2.7464106578077194E-5;422;2185;
120;2.8006199452310756E-5;2.777421672345639E-5;439;2280;
125;2.807137315051756E-5;2.7687239966067756E-5;455;2375;
130;2.8318455760625223E-5;2.7845177887067915E-5;475;2470;
135;2.8443740556678143E-5;2.82260948778914E-5;491;2565;
140;2.8591148294852524E-5;2.8292552435620218E-5;509;2660;
145;2.8754405174872792E-5;2.8350211651873546E-5;532;2755;
150;2.8754405174872792E-5;2.840012363652194E-5;555;2850;
155;2.894074555991081E-5;2.8591165731515376E-5;578;2945;
160;2.917237959100323E-5;2.8861329001492215E-5;595;3040;
165;2.924371654884371E-5;2.898754030330166E-5;619;3135;
170;2.9465895288815848E-5;2.907931747806129E-5;634;3230;
175;2.9723370535103898E-5;2.9362653062639727E-5;649;3325;
180;2.9808622680665595E-5;2.9446303092543324E-5;673;3420;
185;3.0084217759195108E-5;2.9722445584044547E-5;691;3515;
190;3.0170099018265003E-5;2.9691615768838213E-5;710;3610;
195;3.037966069564563E-5;2.9945136893310143E-5;730;3705;
200;3.053142385737672E-5;3.0060266604034368E-5;746;3800;
205;3.070870155625558E-5;3.0384212778509743E-5;759;3895;
210;3.08073940210242E-5;3.0368168540666034E-5;784;3990;
215;3.1066590615652824E-5;3.0664186946410856E-5;803;4085;
220;3.108810867407974E-5;3.08539918752486E-5;823;4180;
225;3.1099169030203484E-5;3.074111230568226E-5;844;4275;
230;3.1203506774905405E-5;3.080664191728655E-5;860;4370;
235;3.1206875998229974E-5;3.080587419174864E-5;886;4465;
240;3.1384423408511604E-5;3.1056339387826594E-5;902;4560;
245;3.14448796415787E-5;3.111780176949734E-5;916;4655;
250;3.14448796415787E-5;3.1060301241618975E-5;941;4750;
255;3.174512474246767E-5;3.1252534811562696E-5;955;4845;
260;3.1779627352089685E-5;3.139279949313455E-5;979;4940;
265;3.2174307528466235E-5;3.171228210822375E-5;998;5035;
270;3.2244646582551137E-5;3.180817576876122E-5;1018;5130;
275;3.2328080882272125E-5;3.1967459187803064E-5;1046;5225;
280;3.235814512757524E-5;3.1903318026461275E-5;1068;5320;
285;3.2462473380771846E-5;3.1884325810135715E-5;1096;5415;
290;3.286139981676482E-5;3.225999025228852E-5;1117;5510;
295;3.292228759856935E-5;3.233733522910024E-5;1134;5605;
300;3.292228759856935E-5;3.248411086014503E-5;1155;5700;
305;3.292228759856935E-5;3.245778459246326E-5;1179;5795;
310;3.292228759856935E-5;3.2461794069602634E-5;1196;5890;
315;3.3119074997482955E-5;3.2594884543199374E-5;1215;5985;
320;3.312881809628563E-5;3.2608810267276983E-5;1239;6080;
325;3.312881809628563E-5;3.261473464689343E-5;1257;6175;
330;3.313211097931897E-5;3.2516292229217006E-5;1278;6270;
335;3.322387175053923E-5;3.2923562657475986E-5;1287;6365;
340;3.322387175053923E-5;3.282813825719676E-5;1300;6460;
345;3.322387175053923E-5;3.26126872107472E-5;1327;6555;
350;3.337048580753239E-5;3.275592054817098E-5;1349;6650;
355;3.3419712149335304E-5;3.301958904876071E-5;1367;6745;
360;3.36321437195671E-5;3.3080614768140036E-5;1386;6840;
365;3.363411198544851E-5;3.318712631376787E-5;1407;6935;
370;3.3689044726923346E-5;3.336426711687871E-5;1424;7030;
375;3.3692518037289574E-5;3.331850732288625E-5;1447;7125;
380;3.398424490406249E-5;3.359900200619068E-5;1461;7220;
385;3.415494184438051E-5;3.380733106264718E-5;1485;7315;
390;3.415494184438051E-5;3.3821558949503056E-5;1497;7410;
395;3.432686729576371E-5;3.393112795534917E-5;1517;7505;
400;3.440024548015173E-5;3.400117522417918E-5;1540;7600;
405;3.440313316214333E-5;3.397129445418766E-5;1556;7695;
410;3.465839301508612E-5;3.3957593040716056E-5;1577;7790;
415;3.467964332680433E-5;3.397806359975164E-5;1593;7885;
420;3.485933560895076E-5;3.402075960389054E-5;1622;7980;
425;3.51312327198249E-5;3.436465343192536E-5;1646;8075;
430;3.527304511493015E-5;3.4566470044692074E-5;1663;8170;
435;3.53053738309508E-5;3.464962566917071E-5;1675;8265;
440;3.563182349419913E-5;3.472918216665161E-5;1693;8360;
445;3.583820912168435E-5;3.512686982966108E-5;1718;8455;
450;3.6190317642417954E-5;3.5843020407862136E-5;1740;8550;
455;3.629345142738516E-5;3.581687981426623E-5;1757;8645;
460;3.629345142738516E-5;3.582882355737755E-5;1772;8740;
465;3.634022004730044E-5;3.573092408397785E-5;1789;8835;
470;3.654874579323936E-5;3.6093206359311395E-5;1804;8930;
475;3.6552620055252956E-5;3.6058375575843225E-5;1827;9025;
480;3.6730595042985834E-5;3.616068766307904E-5;1850;9120;
485;3.6730595042985834E-5;3.612809064860622E-5;1865;9215;
490;3.681608597881455E-5;3.617109369718806E-5;1877;9310;
495;3.6851686701700315E-5;3.633879657430546E-5;1895;9405;
500;3.688033658470382E-5;3.643513811040238E-5;1907;9500;
