iterations;timeInMSec;bestFitness;averageFitness;mutations;cruces;
1;207;2.5125628140703518E-5;2.369272081771228E-5;15;99;
2;316;2.544529262086514E-5;2.3902250997202005E-5;35;198;
3;424;2.6030820491461892E-5;2.3997053325153816E-5;55;297;
4;530;2.6030820491461892E-5;2.423882677159659E-5;79;396;
5;637;2.6030820491461892E-5;2.4331499288512866E-5;104;495;
6;743;2.6030820491461892E-5;2.4317438620014622E-5;122;594;
7;848;2.6030820491461892E-5;2.4515338688183363E-5;146;693;
8;951;2.6030820491461892E-5;2.469713234138478E-5;161;792;
9;1056;2.6199958080067072E-5;2.4788991047074694E-5;182;891;
10;1160;2.6199958080067072E-5;2.491734642824463E-5;200;990;
11;1265;2.631301968213872E-5;2.494015166151496E-5;219;1089;
12;1369;2.6502703275734125E-5;2.5046674710616788E-5;239;1188;
13;1473;2.702410550210788E-5;2.5259503410595903E-5;264;1287;
14;1578;2.702410550210788E-5;2.5295405628068085E-5;287;1386;
15;1681;2.702410550210788E-5;2.5333451451536445E-5;308;1485;
16;1786;2.723014922121773E-5;2.54547347913424E-5;328;1584;
17;1891;2.7295556283437058E-5;2.5619409362424838E-5;355;1683;
18;1995;2.7484608619173264E-5;2.5998805280690625E-5;376;1782;
19;2098;2.767017155506364E-5;2.6169707361993222E-5;396;1881;
20;2202;2.767017155506364E-5;2.629435222754041E-5;415;1980;
21;2306;2.794232703699564E-5;2.6594795318684228E-5;436;2079;
22;2410;2.7954825002795484E-5;2.671398281928649E-5;450;2178;
23;2514;2.8165840468679586E-5;2.6897753340996596E-5;469;2277;
24;2618;2.8165840468679586E-5;2.7056900251251726E-5;486;2376;
25;2722;2.8165840468679586E-5;2.7318425306418422E-5;509;2475;
26;2827;2.8392958546280522E-5;2.740413451319408E-5;528;2574;
27;2930;2.8938534552610255E-5;2.749608234542949E-5;544;2673;
28;3034;2.8938534552610255E-5;2.7545886479494738E-5;570;2772;
29;3138;2.8938534552610255E-5;2.7683952543329196E-5;590;2871;
30;3241;2.8938534552610255E-5;2.7734033185247935E-5;608;2970;
31;3346;2.908329455560726E-5;2.7850149243986685E-5;626;3069;
32;3450;2.908329455560726E-5;2.7891061942397027E-5;648;3168;
33;3554;2.916472235184321E-5;2.801326180182721E-5;668;3267;
34;3658;2.9205607476635515E-5;2.8091978030853813E-5;683;3366;
35;3761;2.922609305588029E-5;2.808736933135915E-5;703;3465;
36;3862;2.9463759575721862E-5;2.8224199918042173E-5;724;3564;
37;3964;2.9547334830398298E-5;2.824594693470553E-5;747;3663;
38;4065;2.956131015726617E-5;2.8437652959419287E-5;770;3762;
39;4164;2.956131015726617E-5;2.8484314626262127E-5;787;3861;
40;4266;2.994729276473407E-5;2.8543723254096988E-5;801;3960;
41;4367;2.9986805805445604E-5;2.8642280123591882E-5;823;4059;
42;4468;2.9986805805445604E-5;2.865539293918762E-5;845;4158;
43;4569;3.026634382566586E-5;2.882680099432608E-5;869;4257;
44;4670;3.026634382566586E-5;2.8815149384274347E-5;883;4356;
45;4771;3.026634382566586E-5;2.8930999586015688E-5;907;4455;
46;4874;3.026634382566586E-5;2.904410883766263E-5;924;4554;
47;4975;3.026634382566586E-5;2.9064562922854704E-5;944;4653;
48;5076;3.036191401505951E-5;2.916036041720685E-5;955;4752;
49;5177;3.036191401505951E-5;2.9234654617300008E-5;982;4851;
50;5278;3.036191401505951E-5;2.9365959955107932E-5;998;4950;
51;5379;3.0435841246652057E-5;2.947444555922519E-5;1020;5049;
52;5479;3.0543677458766035E-5;2.955581529489198E-5;1028;5148;
53;5580;3.1001984126984125E-5;2.9674230531210187E-5;1047;5247;
54;5681;3.1001984126984125E-5;2.969514536685113E-5;1075;5346;
55;5781;3.1001984126984125E-5;2.9797820502351205E-5;1096;5445;
56;5883;3.128519584532599E-5;2.9789519942851048E-5;1115;5544;
57;5985;3.128519584532599E-5;2.989270645901367E-5;1132;5643;
58;6085;3.136369338853344E-5;3.0090351056527403E-5;1151;5742;
59;6186;3.136369338853344E-5;3.0184982770098853E-5;1181;5841;
60;6287;3.156167150612296E-5;3.0255396653396317E-5;1207;5940;
61;6388;3.209654641160611E-5;3.0334203513047263E-5;1227;6039;
62;6488;3.22040448280304E-5;3.053267146956372E-5;1251;6138;
63;6589;3.22040448280304E-5;3.065837524585249E-5;1266;6237;
64;6690;3.223310985043837E-5;3.069551134902639E-5;1282;6336;
65;6791;3.2362459546925564E-5;3.085838602895489E-5;1304;6435;
66;6892;3.2463316452408776E-5;3.094052371238872E-5;1320;6534;
67;6992;3.257328990228013E-5;3.1079775109317346E-5;1335;6633;
68;7092;3.257328990228013E-5;3.120290457666262E-5;1348;6732;
69;7193;3.276110601493906E-5;3.120942966747198E-5;1373;6831;
70;7293;3.276110601493906E-5;3.140489283541441E-5;1396;6930;
71;7394;3.276110601493906E-5;3.1541892832592725E-5;1417;7029;
72;7494;3.307315782510914E-5;3.158521595526903E-5;1437;7128;
73;7594;3.307315782510914E-5;3.1742261584654865E-5;1459;7227;
74;7694;3.307315782510914E-5;3.177343434982293E-5;1477;7326;
75;7794;3.331556503198294E-5;3.181836137540134E-5;1502;7425;
76;7895;3.331556503198294E-5;3.1771470739783035E-5;1527;7524;
77;7996;3.331556503198294E-5;3.192797066911313E-5;1554;7623;
78;8096;3.37655321447866E-5;3.212413686331852E-5;1583;7722;
79;8198;3.37655321447866E-5;3.220552038899899E-5;1599;7821;
80;8299;3.37655321447866E-5;3.226967199442883E-5;1627;7920;
81;8400;3.37655321447866E-5;3.219914347955878E-5;1648;8019;
82;8499;3.377465549851391E-5;3.227773865720517E-5;1666;8118;
83;8601;3.387074922097277E-5;3.2184835234398865E-5;1683;8217;
84;8702;3.3939723051859896E-5;3.234027998136821E-5;1716;8316;
85;8801;3.3939723051859896E-5;3.252339832474105E-5;1734;8415;
86;8902;3.3939723051859896E-5;3.276799326243216E-5;1752;8514;
87;9003;3.410175965079798E-5;3.285071529896153E-5;1771;8613;
88;9104;3.4312379906670324E-5;3.296165643793331E-5;1795;8712;
89;9204;3.4312379906670324E-5;3.289329963352997E-5;1812;8811;
90;9305;3.4312379906670324E-5;3.291832387270729E-5;1826;8910;
91;9406;3.444000551040088E-5;3.288489151807945E-5;1844;9009;
92;9507;3.444000551040088E-5;3.2954539560948895E-5;1858;9108;
93;9607;3.461165720614703E-5;3.305999008172501E-5;1872;9207;
94;9708;3.461165720614703E-5;3.292970695222604E-5;1891;9306;
95;9809;3.482864307606576E-5;3.2986797023091574E-5;1913;9405;
96;9909;3.482864307606576E-5;3.316129589222021E-5;1936;9504;
97;10011;3.482864307606576E-5;3.3273942488561884E-5;1958;9603;
98;10111;3.482864307606576E-5;3.3286437165062335E-5;1975;9702;
99;10212;3.500420050406049E-5;3.339106059135251E-5;1998;9801;
100;10312;3.521622763769545E-5;3.338164580252603E-5;2024;9900;
101;10413;3.521622763769545E-5;3.347909172113668E-5;2038;9999;
102;10513;3.521622763769545E-5;3.3540169826970074E-5;2059;10098;
103;10615;3.521622763769545E-5;3.354730449371413E-5;2073;10197;
104;10715;3.533069530808366E-5;3.3683884389202526E-5;2089;10296;
105;10815;3.57398141529664E-5;3.3769097683388215E-5;2109;10395;
106;10916;3.57398141529664E-5;3.3721415279010565E-5;2134;10494;
107;11017;3.57398141529664E-5;3.37980594229168E-5;2161;10593;
108;11117;3.588345055260514E-5;3.380813290222092E-5;2180;10692;
109;11218;3.588345055260514E-5;3.383375120037948E-5;2199;10791;
110;11318;3.5898908673176336E-5;3.400635690700615E-5;2218;10890;
111;11418;3.681342953909586E-5;3.3976017697323575E-5;2237;10989;
112;11519;3.681342953909586E-5;3.402504626148954E-5;2251;11088;
113;11620;3.681342953909586E-5;3.438484812854413E-5;2263;11187;
114;11720;3.6845983787767136E-5;3.478162754541114E-5;2288;11286;
115;11820;3.6845983787767136E-5;3.4676568830201974E-5;2305;11385;
116;11921;3.6845983787767136E-5;3.4881761195596715E-5;2323;11484;
117;12022;3.6845983787767136E-5;3.492101579334128E-5;2344;11583;
118;12123;3.6845983787767136E-5;3.498580445092622E-5;2362;11682;
119;12222;3.689492325855962E-5;3.4885427202983575E-5;2384;11781;
120;12323;3.755445395823945E-5;3.505460407924183E-5;2410;11880;
121;12423;3.755445395823945E-5;3.521362978767406E-5;2434;11979;
122;12523;3.781004234724743E-5;3.5530929961563316E-5;2453;12078;
123;12623;3.7942024586431934E-5;3.575962475214649E-5;2477;12177;
124;12724;3.7942024586431934E-5;3.5894741004361704E-5;2495;12276;
125;12825;3.7942024586431934E-5;3.603994129624215E-5;2513;12375;
126;12925;3.7942024586431934E-5;3.6235892013826195E-5;2527;12474;
127;13025;3.8208772734219776E-5;3.6268442839110595E-5;2552;12573;
128;13126;3.8208772734219776E-5;3.640688260583997E-5;2567;12672;
129;13227;3.850893407270487E-5;3.662497448116928E-5;2581;12771;
130;13327;3.850893407270487E-5;3.660427928891239E-5;2597;12870;
131;13427;3.850893407270487E-5;3.680469252935323E-5;2620;12969;
132;13528;3.850893407270487E-5;3.680619991215885E-5;2648;13068;
133;13628;3.850893407270487E-5;3.6805299419126595E-5;2662;13167;
134;13729;3.865780114427091E-5;3.687482300352387E-5;2679;13266;
135;13829;3.865780114427091E-5;3.6981372381861644E-5;2699;13365;
136;13929;3.865780114427091E-5;3.7016890857124464E-5;2718;13464;
137;14029;3.865780114427091E-5;3.7118214710476706E-5;2739;13563;
138;14129;3.8717670744927986E-5;3.72005013331948E-5;2753;13662;
139;14229;3.8717670744927986E-5;3.72984361137357E-5;2771;13761;
140;14330;3.9013732833957553E-5;3.7381403374618253E-5;2792;13860;
141;14430;3.9013732833957553E-5;3.7477066651513966E-5;2805;13959;
142;14529;3.9013732833957553E-5;3.7559302111856E-5;2830;14058;
143;14630;3.9013732833957553E-5;3.743505193428586E-5;2860;14157;
144;14730;3.907471084713973E-5;3.7439118998083595E-5;2884;14256;
145;14833;3.907471084713973E-5;3.746489943261454E-5;2899;14355;
146;14932;3.9105271390583454E-5;3.7479626758004E-5;2920;14454;
147;15033;3.925879396984925E-5;3.760824666095728E-5;2937;14553;
148;15134;3.925879396984925E-5;3.7549792034951374E-5;2955;14652;
149;15234;3.9363879703983625E-5;3.75998086917231E-5;2971;14751;
150;15334;3.965107057890563E-5;3.7749318273208834E-5;2990;14850;
151;15435;3.965107057890563E-5;3.7751240978034976E-5;3010;14949;
152;15537;3.9783577339274344E-5;3.779091715217998E-5;3039;15048;
153;15636;3.9783577339274344E-5;3.7721942114028894E-5;3066;15147;
154;15737;3.9783577339274344E-5;3.76996623592178E-5;3090;15246;
155;15837;3.9783577339274344E-5;3.7595207213421364E-5;3110;15345;
156;15937;3.9783577339274344E-5;3.7642680847826336E-5;3138;15444;
157;16037;3.9783577339274344E-5;3.774806162363205E-5;3159;15543;
158;16138;3.98851308232291E-5;3.79824834445303E-5;3177;15642;
159;16239;4.027710649266957E-5;3.789585766027661E-5;3197;15741;
160;16340;4.027710649266957E-5;3.804653860192149E-5;3220;15840;
161;16439;4.0433446546983666E-5;3.8079886994213205E-5;3247;15939;
162;16539;4.0433446546983666E-5;3.834076166875657E-5;3262;16038;
163;16640;4.077638231936063E-5;3.837614852200162E-5;3288;16137;
164;16740;4.107788366743346E-5;3.862996421932166E-5;3311;16236;
165;16841;4.117259552042161E-5;3.9045336008386536E-5;3329;16335;
166;16941;4.117259552042161E-5;3.927193482759832E-5;3347;16434;
167;17041;4.117259552042161E-5;3.9360499705364296E-5;3374;16533;
