iterations;timeInMSec;bestFitness;averageFitness;mutations;crossovers;
1;0;2.5398760540485624E-5;2.3512974635137097E-5;0;0;
20;9804;2.833824529585128E-5;2.556414995590903E-5;1992;8007;
40;19713;2.9701793988356896E-5;2.683450351871839E-5;4049;15970;
60;29552;3.1395202813010174E-5;2.8532087430840586E-5;6044;23959;
81;39855;3.2220646990591574E-5;2.90487361549715E-5;8168;32251;
101;49680;3.390290208841877E-5;2.993974092768531E-5;10168;40275;
121;59498;3.49454850433324E-5;3.095396826862618E-5;12186;48298;
142;69812;3.544590954203885E-5;3.2358378957633697E-5;14319;56575;
162;79610;3.5955702574428306E-5;3.235541895821823E-5;16279;64522;
183;89902;3.707548568886252E-5;3.350819775467683E-5;18354;72793;
203;99724;3.7735849056603776E-5;3.431064164081329E-5;20363;80945;
224;109937;3.8473376423514926E-5;3.4318450092540806E-5;22435;89068;
244;119732;3.8801800403538726E-5;3.4384980570569574E-5;24501;97335;
265;129939;3.9525691699604744E-5;3.555378839211617E-5;26538;105424;
285;139746;4.036164029706167E-5;3.6256071240072916E-5;28538;113645;
306;149933;4.108463434675431E-5;3.6517959103750273E-5;30604;121743;
326;159730;4.108463434675431E-5;3.605768528264614E-5;32685;129970;
347;169947;4.1138719763040976E-5;3.664770394405356E-5;34746;138294;
367;179707;4.1138719763040976E-5;3.63194671082891E-5;36757;146277;
388;189921;4.1521341969772464E-5;3.7020808301239494E-5;38877;154655;
408;199647;4.252423881612519E-5;3.8518283224517704E-5;40816;162661;
429;209859;4.2815550607980816E-5;3.808412671534881E-5;42917;171036;
449;219587;4.3440486533449174E-5;3.8738812433844375E-5;44885;178976;
470;229801;4.348582362149939E-5;3.929448920164443E-5;47005;187370;
490;239536;4.3790506218251886E-5;3.897174321734531E-5;48955;195333;
511;249750;4.403734366742998E-5;3.960424022737977E-5;51151;203742;
532;259922;4.485109436670255E-5;4.0407742905405184E-5;53219;211964;
552;269673;4.519161243673174E-5;3.959388265625471E-5;55252;220008;
573;279881;4.519161243673174E-5;3.992503669608021E-5;57369;228407;
593;289676;4.522431259044862E-5;4.024586508623736E-5;59383;236366;
614;299865;4.589682393978337E-5;4.1187400363498604E-5;61498;244682;
634;309584;4.614248800295312E-5;4.0559270542030926E-5;63456;252721;
655;319772;4.685157421289355E-5;4.028799467129564E-5;65465;261100;
675;329507;4.7054394880481836E-5;4.184992506490442E-5;67498;269087;
696;339705;4.715201810637495E-5;4.2398580919334924E-5;69579;277471;
717;349902;4.79570305006714E-5;4.247328548025825E-5;71784;285838;
737;359632;4.8346548056468766E-5;4.331615654739921E-5;73823;293831;
758;369826;4.868549172346641E-5;4.3746811154955594E-5;75958;302194;
778;379580;4.9038838760298155E-5;4.3559211257369414E-5;78014;310216;
799;389778;4.9038838760298155E-5;4.3500402097894586E-5;80141;318633;
820;399949;4.9038838760298155E-5;4.3014733434113984E-5;82158;326638;
840;409732;4.9348598499802604E-5;4.2177901212151014E-5;84325;334998;
861;419933;4.9940071913703555E-5;4.395885514131291E-5;86455;343429;
881;429645;5.019072475406545E-5;4.349100352924629E-5;88531;351382;
902;439830;5.03119339907426E-5;4.4915908506967125E-5;90693;359765;
922;449538;5.053567818880129E-5;4.363191849005826E-5;92711;367714;
943;459731;5.061753391374772E-5;4.44124996692871E-5;94792;376192;
964;469926;5.061753391374772E-5;4.340321349482623E-5;96914;384613;
984;479625;5.0958010599266205E-5;4.4335659244169394E-5;98920;392564;
1005;489838;5.1208521097910693E-5;4.480111539820231E-5;100975;400980;
1025;499550;5.1208521097910693E-5;4.5152147180969585E-5;102933;408923;
1046;509754;5.1292572835453425E-5;4.348787187394346E-5;105032;417318;
1067;519944;5.1695616211745244E-5;4.483501658248728E-5;107081;425670;
1087;529640;5.214851898206091E-5;4.4213026503448326E-5;109036;433588;
1108;539835;5.214851898206091E-5;4.523926641375925E-5;111146;441976;
1128;549557;5.2192066805845514E-5;4.4490264225974585E-5;113055;450014;
1149;559745;5.2192066805845514E-5;4.431625737844833E-5;115172;458490;
1170;569937;5.2192066805845514E-5;4.527612802194339E-5;117311;466902;
1190;579635;5.2279381012128815E-5;4.5555552638162344E-5;119230;474879;
1211;589823;5.2279381012128815E-5;4.5564338100186756E-5;121299;483273;
1231;599615;5.2279381012128815E-5;4.5169737940589136E-5;123284;491240;
1252;609853;5.233410090014654E-5;4.577148440332818E-5;125403;499680;
1272;619631;5.273149124657245E-5;4.618076795822792E-5;127430;507675;
1293;629858;5.2999788000847996E-5;4.594799698540852E-5;129499;516094;
1313;639583;5.3430220132506944E-5;4.697929421237125E-5;131450;524051;
1334;649799;5.3430220132506944E-5;4.619144018304189E-5;133578;532414;
1354;659559;5.417118093174431E-5;4.75619032147389E-5;135548;540381;
1375;669788;5.426524853483829E-5;4.701821383860133E-5;137639;548804;
1395;679604;5.426524853483829E-5;4.728043254263277E-5;139670;556840;
1416;689825;5.4860653938994955E-5;4.7320642977587616E-5;141798;565246;
1436;699570;5.5395524041657433E-5;4.7735913558892E-5;143819;573206;
1457;709809;5.5395524041657433E-5;4.835275874787294E-5;145844;581594;
1477;719549;5.5395524041657433E-5;4.7198653851748E-5;147867;589643;
1498;729776;5.5395524041657433E-5;4.8607498031790894E-5;149950;597906;
1518;739524;5.5666889334224006E-5;4.7932193557618E-5;151995;605858;
1539;749747;5.596597268860533E-5;5.008296683362028E-5;154060;614224;
1560;759939;5.623031938821413E-5;4.905303456946228E-5;156048;622381;
1580;769774;5.642067253441661E-5;4.930825080713039E-5;158131;630595;
1601;779950;5.676657584014532E-5;4.873396909375749E-5;160158;638640;
1621;789736;5.6869881710646044E-5;4.9798191360744586E-5;162259;647030;
1642;799914;5.74052812858783E-5;4.928327296881984E-5;164361;655396;
1662;809682;5.788376939106274E-5;4.9925106143222284E-5;166388;663364;
1683;819890;5.8045042953331786E-5;5.066133851939802E-5;168519;671776;
1703;829610;5.8045042953331786E-5;4.939827934429883E-5;170535;679692;
1724;839815;5.816658911121452E-5;5.0783704622732684E-5;172611;688026;
1744;849515;5.816658911121452E-5;4.971070279692398E-5;174588;696053;
1765;859719;5.838393274170948E-5;5.0325656898724825E-5;176679;704410;
1786;869943;5.838393274170948E-5;5.0524991153912585E-5;178852;712803;
1806;879682;5.894836123555765E-5;5.153548295732911E-5;180928;720780;
1827;889897;5.9822924144532185E-5;5.212190386978613E-5;183001;729172;
1847;899633;5.9822924144532185E-5;5.0708584075441024E-5;184968;737157;
1868;909843;5.9822924144532185E-5;5.152636662130951E-5;187060;745538;
1888;919563;6.013952369497234E-5;5.100718079409881E-5;189068;753529;
1909;929777;6.025548324897566E-5;5.25196058347399E-5;191143;761935;
1930;939940;6.031363088057901E-5;5.262396923794094E-5;193125;770021;
1950;949700;6.0842054027743974E-5;5.2904071729731394E-5;195154;778312;
1971;959921;6.0842054027743974E-5;5.2027920950570106E-5;197224;786678;
