iterations;timeInMSec;bestFitness;averageFitness;mutations;crossovers;
1;0;2.5460841226194115E-5;2.357068808831065E-5;0;0;
92;9954;3.482379161443098E-5;3.327800267081986E-5;1822;7336;
185;19907;4.19533478771606E-5;3.982053882696039E-5;3681;14801;
279;29944;4.461895413171515E-5;4.304028584339111E-5;5608;22226;
373;39920;4.70189956742524E-5;4.410673193468127E-5;7492;29645;
468;49901;4.9465769687376336E-5;4.661697340870289E-5;9433;37125;
563;59934;5.0916496945010185E-5;4.852820967070646E-5;11322;44633;
658;69961;5.4704595185995626E-5;5.260130525992364E-5;13120;52153;
753;79931;5.666364460562103E-5;5.240215665673724E-5;15018;59698;
848;89889;5.90318772136954E-5;5.610633831549369E-5;16970;67204;
944;99940;6.136475208640157E-5;5.7935636693577655E-5;18834;74729;
1040;109969;6.322711178553364E-5;5.854631722005189E-5;20747;82254;
1135;119911;6.598046978094485E-5;6.0396379993241465E-5;22638;89862;
1231;129958;6.888950124001103E-5;6.398639270975303E-5;24556;97470;
1326;139923;7.09622480840193E-5;6.67340272212887E-5;26468;105065;
1422;149969;7.148984844152131E-5;6.683382133950844E-5;28339;112610;
1517;159914;7.312079555425563E-5;6.86959019282432E-5;30212;120186;
1613;169947;7.451564828614009E-5;6.948527599305167E-5;32073;127761;
1709;179972;7.469375560203167E-5;6.905777781588688E-5;34025;135331;
1804;189879;7.489514679448772E-5;7.042488321180332E-5;35889;142847;
1900;199886;7.62660158633313E-5;7.023064774277102E-5;37755;150498;
1996;209869;7.732755954222085E-5;7.235204564855513E-5;39647;158076;
2093;219955;7.982120051085569E-5;7.315737634959131E-5;41573;165690;
2189;229926;8.140670791273201E-5;7.498308249450756E-5;43488;173303;
2286;239973;8.237232289950576E-5;7.613937530551389E-5;45365;180924;
2382;249932;8.361204013377926E-5;7.714148871830154E-5;47334;188554;
2478;259889;8.555783709787816E-5;7.808196683852749E-5;49202;196105;
2575;269955;8.641548565502938E-5;7.819419825392661E-5;51087;203758;
2671;279919;8.858965272856131E-5;8.334102973450937E-5;52912;211330;
2767;289917;8.896797153024912E-5;8.15318162782288E-5;54779;218953;
2864;299973;8.989572096368213E-5;8.290295754887213E-5;56590;226590;
