iterations;timeInMSec;bestFitness;averageFitness;mutations;crossovers;
1;1;2.232708011358232E-5;2.1006904420730767E-5;0;0;
5;8969;2.272181949059498E-5;2.1476832783825826E-5;492;2022;
10;19807;2.3027095983844193E-5;2.1775710250976184E-5;996;4000;
14;28510;2.3497841723237726E-5;2.1951970732174796E-5;1428;5628;
19;39333;2.352440798474865E-5;2.2251386000701476E-5;1928;7634;
23;47987;2.4211081896405634E-5;2.235804138369834E-5;2330;9243;
28;58489;2.421362616969976E-5;2.2495974678537323E-5;2869;11227;
33;68786;2.443141978309786E-5;2.272818315586791E-5;3369;13192;
38;79089;2.548045954518398E-5;2.3033670970923327E-5;3847;15169;
43;89390;2.5515033713014028E-5;2.3393569675393058E-5;4324;17152;
48;99685;2.566200268321902E-5;2.371590171207178E-5;4795;19130;
53;109840;2.6016612127175428E-5;2.3949518912799514E-5;5260;21026;
57;118259;2.6071635468478614E-5;2.418608530288927E-5;5685;22734;
62;128566;2.6103894544442678E-5;2.4275457911431128E-5;6180;24746;
67;138873;2.6135919325735095E-5;2.4361551193296947E-5;6650;26723;
72;149186;2.6142423925546378E-5;2.4452060855602406E-5;7145;28717;
77;159496;2.6311967314221686E-5;2.4753642165315394E-5;7653;30716;
82;169799;2.64656827431574E-5;2.4904672737365287E-5;8161;32699;
87;179937;2.6780544684142195E-5;2.5245443734577043E-5;8572;34346;
91;188318;2.6804534898432255E-5;2.5416601499630972E-5;9066;36273;
96;198632;2.720373365803711E-5;2.5435628433226948E-5;9559;38277;
101;208934;2.720373365803711E-5;2.531553910222178E-5;10060;40257;
106;219252;2.720373365803711E-5;2.5206205259892893E-5;10585;42253;
111;229556;2.720373365803711E-5;2.5065502185189718E-5;11071;44263;
116;239861;2.7232166198999637E-5;2.4998381385921596E-5;11590;46251;
120;248105;2.7330872461576886E-5;2.525388144639492E-5;11989;47854;
125;258417;2.7508772547565425E-5;2.558603678777132E-5;12497;49858;
130;268747;2.766657352253582E-5;2.5763558365546467E-5;12992;51868;
135;279045;2.7688160431846715E-5;2.587911166788018E-5;13503;53867;
140;289333;2.7688160431846715E-5;2.5918671436315985E-5;14002;55852;
145;299633;2.7789433901442E-5;2.587064750863661E-5;14516;57840;
150;309937;2.797082307503397E-5;2.5876417611356474E-5;14996;59862;
154;318179;2.797082307503397E-5;2.6006520887609516E-5;15408;61499;
159;328495;2.814183937313489E-5;2.612857293531166E-5;15903;63488;
164;338806;2.8342534264706786E-5;2.6140385641036842E-5;16392;65485;
169;349104;2.8345249676297226E-5;2.630741255235682E-5;16872;67465;
174;359418;2.8453015251385245E-5;2.7002899214028132E-5;17359;69442;
179;369724;2.8751726541178812E-5;2.7100708197254615E-5;17856;71418;
184;379908;2.88545827136812E-5;2.7280800950321136E-5;18260;73110;
188;388291;2.8927451109714856E-5;2.7281796899180218E-5;18732;75008;
193;398600;2.912191598909678E-5;2.7149364729729885E-5;19215;77035;
198;408905;2.9150983437577247E-5;2.6976213840584753E-5;19676;79025;
203;419232;2.925550588620778E-5;2.68920053309439E-5;20197;81041;
208;429533;2.9334666300570017E-5;2.6857879528499294E-5;20703;83029;
213;439864;2.9334666300570017E-5;2.6781423412804292E-5;21216;85068;
217;448119;2.9334666300570017E-5;2.6786927254784302E-5;21620;86659;
222;458429;2.9334666300570017E-5;2.6754711412601743E-5;22089;88666;
227;468744;2.950762978783424E-5;2.6959022375699364E-5;22600;90659;
232;479067;2.9698953587069272E-5;2.701845115780526E-5;23082;92662;
237;489401;2.9777360630041264E-5;2.7231712026321937E-5;23607;94679;
242;499726;2.9777360630041264E-5;2.759883142079166E-5;24088;96674;
247;509906;2.9860408562054108E-5;2.7755735229128973E-5;24518;98379;
251;518334;2.9860408562054108E-5;2.770573782033489E-5;24995;100252;
256;528673;2.9870005735041094E-5;2.769713234935824E-5;25485;102231;
261;539003;2.9870005735041094E-5;2.7560682372381043E-5;25954;104225;
266;549311;2.9870005735041094E-5;2.7565657692490832E-5;26522;106215;
271;559616;2.9870005735041094E-5;2.7573662645113285E-5;27003;108228;
276;569932;2.9889790364966286E-5;2.7351473604107672E-5;27563;110249;
280;578180;3.0030931859815605E-5;2.7484389126045635E-5;27998;111856;
285;588493;3.0104595406279586E-5;2.752646670754828E-5;28473;113861;
290;598788;3.0512475330663707E-5;2.792890716188796E-5;29014;115802;
295;609094;3.0512475330663707E-5;2.8117372356832907E-5;29522;117813;
300;619404;3.0653689937926275E-5;2.845262655538458E-5;30104;119796;
305;629731;3.114197626981408E-5;2.8753133109005057E-5;30621;121797;
310;639867;3.126402973334281E-5;2.8704419534654435E-5;31045;123588;
314;648285;3.1284080094753205E-5;2.909303436775126E-5;31481;125384;
319;658591;3.1350321027287296E-5;2.9499548537299743E-5;31982;127349;
324;668883;3.161369581175433E-5;2.9730322805932536E-5;32450;129319;
329;679173;3.171908562757483E-5;2.9741993615676498E-5;32973;131300;
334;689466;3.171908562757483E-5;2.983539065708982E-5;33479;133285;
339;699781;3.182564637887798E-5;2.990439275259281E-5;33972;135267;
344;709906;3.183555534897815E-5;2.9764770257434165E-5;34391;136945;
348;718303;3.183555534897815E-5;2.978273198011286E-5;34844;138820;
353;728643;3.197744694621778E-5;2.962119090311107E-5;35334;140838;
358;738953;3.2044790926966086E-5;2.93385220245374E-5;35844;142839;
363;749295;3.2121537619460004E-5;2.891943385238218E-5;36344;144867;
368;759622;3.216222109725921E-5;2.8802479555451582E-5;36865;146869;
373;769929;3.218259114914379E-5;2.8771512751969484E-5;37319;148877;
377;778177;3.218259114914379E-5;2.8827817409181558E-5;37686;150483;
382;788486;3.218259114914379E-5;2.899025383977806E-5;38172;152483;
387;798791;3.245362377163034E-5;2.935411132028603E-5;38675;154498;
392;809109;3.245362377163034E-5;2.9476368101256494E-5;39142;156510;
397;819412;3.245362377163034E-5;2.9729983427894138E-5;39626;158501;
402;829716;3.245362377163034E-5;2.9869970419701852E-5;40138;160495;
407;839865;3.245362377163034E-5;2.9926404280385357E-5;40592;162306;
411;848270;3.24707162845188E-5;2.9949560479192904E-5;41069;164110;
416;858579;3.271790945645736E-5;3.0307146025378336E-5;41558;166129;
421;868883;3.2729088894169164E-5;3.053192073996746E-5;42055;168124;
426;879184;3.290536614129958E-5;3.080873938249221E-5;42520;170133;
431;889481;3.3186538212639424E-5;3.081964754004734E-5;43047;172108;
436;899801;3.320022257429214E-5;3.071104026782294E-5;43509;174101;
440;908052;3.320022257429214E-5;3.099172442686299E-5;43881;175717;
445;918341;3.320022257429214E-5;3.1141484055433525E-5;44352;177679;
450;928643;3.3488541560619614E-5;3.090216982928956E-5;44849;179684;
455;938947;3.3519073693694656E-5;3.080967192748561E-5;45342;181680;
460;949268;3.3519073693694656E-5;3.0860441024046926E-5;45847;183694;
465;959574;3.368877234070936E-5;3.098897804888109E-5;46349;185713;
470;969879;3.368877234070936E-5;3.145949004052359E-5;46861;187703;
474;978125;3.368877234070936E-5;3.149991977031326E-5;47249;189306;
479;988257;3.368877234070936E-5;3.1262467048512705E-5;47742;191334;
484;998177;3.368877234070936E-5;3.1108352970244654E-5;48233;193332;
