iterations;timeInMSec;bestFitness;averageFitness;mutations;crossovers;
1;0;2.2428142474326512E-5;2.1005439528400732E-5;0;0;
5;9219;2.3038279022126427E-5;2.14500182903243E-5;502;2005;
9;18147;2.3354827559630714E-5;2.1848642387168644E-5;915;3601;
14;29347;2.357997833471589E-5;2.216298281095031E-5;1392;5615;
18;38245;2.372317146538981E-5;2.2294500787372183E-5;1798;7230;
23;49358;2.4197232610900735E-5;2.2437731214192083E-5;2301;9221;
28;59489;2.446236611747021E-5;2.2686296826401172E-5;2789;11242;
33;69049;2.4483052586169322E-5;2.2875734474408573E-5;3272;13245;
38;78640;2.465076035270307E-5;2.297411501705633E-5;3770;15258;
44;89952;2.5406439516159775E-5;2.2880198924442007E-5;4292;17270;
49;99709;2.565006235530158E-5;2.3222691628114682E-5;4932;19640;
54;109220;2.5726053546207877E-5;2.349760919954123E-5;5420;21637;
59;118791;2.5752527481809693E-5;2.390772286333386E-5;5908;23632;
64;128341;2.6021283328059677E-5;2.4196972508521264E-5;6411;25620;
70;139794;2.626632583482265E-5;2.4457265992235792E-5;7027;28016;
75;149369;2.626632583482265E-5;2.4691602726075255E-5;7545;30031;
80;158912;2.6713440119419764E-5;2.496931955717138E-5;8038;32011;
85;168495;2.677569730609708E-5;2.5179918402891162E-5;8541;34034;
91;179941;2.6881547000772045E-5;2.5497665171022246E-5;9114;36408;
96;189563;2.704971954850771E-5;2.5416285008619446E-5;9620;38427;
101;199141;2.708967005865456E-5;2.540664888721663E-5;10111;40371;
106;208649;2.7203408042959627E-5;2.5379468244130205E-5;10593;42350;
112;219950;2.7592326684318397E-5;2.5357846351177423E-5;11081;44353;
117;229604;2.7614041850737272E-5;2.5453692802972826E-5;11686;46743;
122;239138;2.7857465605780098E-5;2.559040529217096E-5;12210;48689;
127;248688;2.8201807623061418E-5;2.577047107797308E-5;12700;50688;
132;258221;2.833305850266587E-5;2.6005733009532896E-5;13173;52663;
138;269639;2.8375266301874255E-5;2.623323136586027E-5;13756;55048;
143;279119;2.8375266301874255E-5;2.6270019298506655E-5;14224;57056;
148;288633;2.8461016092427725E-5;2.6456004826586595E-5;14715;59042;
154;299927;2.9000570731231996E-5;2.669375842364874E-5;15229;61097;
159;309607;2.9000570731231996E-5;2.680446847390419E-5;15815;63433;
164;319107;2.9000570731231996E-5;2.6687273392178468E-5;16298;65443;
169;328584;2.9004137150123102E-5;2.651064639254483E-5;16816;67415;
175;339853;2.9058211734403263E-5;2.6684935052384446E-5;17413;69666;
180;349545;2.9231304388495703E-5;2.690124932000255E-5;17958;71813;
185;359089;2.9231304388495703E-5;2.7016523157542156E-5;18456;73787;
