iterations;timeInMSec;bestFitness;averageFitness;mutations;crossovers;
1;0;1.832029458432398E-5;1.6813069263071003E-5;0;0;
376;9964;4.565212917637192E-5;4.280911790389496E-5;7525;29762;
766;19954;5.6778092556734145E-5;5.210608086934517E-5;15217;60674;
1160;29961;6.515358864653565E-5;5.970271114949367E-5;22901;91833;
1551;39963;7.277710377889933E-5;6.459306766067457E-5;30786;122740;
1950;49974;7.928641940493469E-5;7.073477255873175E-5;38710;154358;
2352;59972;8.150725244998831E-5;7.486274220488645E-5;46657;186300;
2756;69972;8.612242184967223E-5;7.878099999325057E-5;54707;218417;
3157;79956;9.106274560564263E-5;8.106191770572313E-5;62641;250270;
3553;89943;9.715038671887264E-5;8.595219463102559E-5;70369;281556;
3952;99975;9.988191690855409E-5;8.806844574359045E-5;78345;313134;
4344;109959;1.0320905198077956E-4;9.210526086517716E-5;86223;344250;
4741;119957;1.0739385584399866E-4;9.478360597592427E-5;94143;375534;
5138;129967;1.1003327642276927E-4;9.987615592266859E-5;102070;406867;
5528;139973;1.1024744781723114E-4;9.630760094549589E-5;109791;437804;
5925;149964;1.1375857450167492E-4;9.83853119376095E-5;117598;469277;
6323;159962;1.1555967231957695E-4;9.44571846412227E-5;125455;500830;
6720;169960;1.1631410804482918E-4;1.0347384090525767E-4;133382;532408;
7114;179959;1.1631410804482918E-4;1.0038942936101255E-4;141053;563623;
7514;189974;1.1631410804482918E-4;1.0251602066189214E-4;149003;595293;
7920;199963;1.1631410804482918E-4;9.991118538811144E-5;157063;627497;
8327;209974;1.1682995204316879E-4;9.875582817675488E-5;165096;659681;
8737;219959;1.1858597852447593E-4;9.971474822055614E-5;173163;692261;
9135;229955;1.1866418003820495E-4;1.0608529732494067E-4;181120;723809;
9527;239958;1.1936839873068684E-4;1.0717895131392832E-4;188839;754904;
9915;249954;1.1949461835501532E-4;1.0577702899951344E-4;196592;785606;
10309;259969;1.2002311144909172E-4;1.0537647094050178E-4;204453;816861;
10701;269948;1.2033923796311987E-4;1.0948105007707773E-4;212176;848019;
11090;279954;1.2033923796311987E-4;1.0305887861643822E-4;219874;878887;
11484;289953;1.2033923796311987E-4;1.0517206006652347E-4;227682;910040;
11880;299953;1.2044705105476145E-4;1.0546709702570397E-4;235565;941358;
12274;309975;1.2044705105476145E-4;1.011627207971085E-4;243332;972510;
12662;319957;1.2141037741093416E-4;1.103738602014291E-4;250980;1003212;
13054;329944;1.2141037741093416E-4;1.0367453142259522E-4;258658;1034207;
13449;339970;1.2141037741093419E-4;1.1175283897270542E-4;266532;1065439;
13837;349962;1.2141037741093419E-4;1.0366500735912082E-4;274167;1096225;
14231;359975;1.2141037741093419E-4;9.95646105579151E-5;281877;1127556;
14626;369955;1.2141037741093419E-4;1.071122041389296E-4;289746;1158937;
15019;379958;1.2153842879822019E-4;1.0579552435327984E-4;297622;1189979;
15409;389953;1.2153842879822019E-4;1.0358254549824782E-4;305328;1220868;
15802;399950;1.2172056189719896E-4;1.0288584698257674E-4;313187;1251949;
16197;409961;1.2172056189719896E-4;1.0870071853385602E-4;321086;1283175;
16587;419974;1.2219360879466907E-4;1.0818665096452406E-4;328830;1314113;
16980;429972;1.2219360879466907E-4;1.0641701062074824E-4;336624;1345373;
17373;439961;1.2242830995301077E-4;1.0746219934982385E-4;344455;1376427;
17767;449954;1.2242830995301077E-4;1.063656915720564E-4;352349;1407693;
18160;459968;1.224283099530108E-4;1.0634888392007165E-4;360005;1438857;
18556;469974;1.2245907325036964E-4;1.0844891589092815E-4;367926;1470083;
18950;479965;1.2245907325036967E-4;1.1003708134934247E-4;375773;1501368;
19339;489955;1.23621350150616E-4;1.0434981213392614E-4;383458;1532198;
19731;499966;1.2362135015061602E-4;1.0900274509089516E-4;391259;1563320;
20130;509962;1.2398104975435475E-4;1.1078168474021605E-4;399190;1594976;
20528;519955;1.2398104975435475E-4;1.0956620251510816E-4;407038;1626442;
20924;529953;1.2398104975435477E-4;1.1229994815161662E-4;414853;1657901;
21324;539953;1.2398104975435477E-4;1.098265705173777E-4;422832;1689728;
21724;549966;1.2398104975435477E-4;1.1130528221590534E-4;430861;1721444;
22117;559954;1.2398104975435477E-4;1.1099990094257125E-4;438726;1752614;
22516;569956;1.2398104975435477E-4;1.1204735350426985E-4;446580;1784197;
22917;579959;1.2398104975435477E-4;1.0891165191060266E-4;454492;1815963;
