iterations;timeInMSec;bestFitness;averageFitness;mutations;crossovers;
1;0;1.8267931918863316E-5;1.6933305344643174E-5;0;0;
433;9972;4.996848118691377E-5;4.6056526731372583E-5;8549;34338;
883;19967;6.364091167398445E-5;6.000457356617469E-5;17471;70140;
1341;29974;7.238861991196859E-5;6.6683045656489E-5;26751;106529;
1793;39961;8.060015597058055E-5;7.447589826317334E-5;35481;142339;
2251;49964;8.634334882700454E-5;7.843477647084792E-5;44462;178519;
2708;59963;9.404798927220401E-5;8.8708307518863E-5;53508;214778;
3164;69974;9.910961986727832E-5;8.950375778805494E-5;62471;250694;
3621;79965;1.0083948817852156E-4;9.091627528305837E-5;71588;287063;
4077;89964;1.0218608207848266E-4;9.210202997411082E-5;80723;323129;
4536;99974;1.0519739383753193E-4;9.534664451393417E-5;89928;359550;
4991;109968;1.103004708916962E-4;9.745212834889045E-5;98985;395587;
5445;119972;1.1382389032368359E-4;1.046138216251841E-4;107800;431439;
5904;129971;1.143329218074728E-4;1.011285075685407E-4;116947;467688;
6359;139965;1.1549063923481837E-4;1.0448110845941001E-4;125901;503582;
6817;149956;1.1836336917879994E-4;1.0461446182804451E-4;134970;539997;
7277;159973;1.1899980907146902E-4;1.053570240932059E-4;144092;576315;
7735;169964;1.1968475524884179E-4;1.0010579468800204E-4;153216;612684;
8189;179964;1.1968475524884179E-4;1.07942764577303E-4;162226;648779;
8648;189961;1.20714316140753E-4;1.0780468478378137E-4;171319;685067;
9107;199968;1.2116888861773655E-4;1.0785186627198273E-4;180434;721395;
9560;209957;1.23772444510802E-4;1.0757541518906802E-4;189375;757250;
10019;219962;1.2390749855742113E-4;1.1272330346581438E-4;198410;793624;
10478;229965;1.2390749855742115E-4;1.0817108400608324E-4;207439;829843;
10937;239968;1.2390749855742115E-4;1.1186144775331819E-4;216517;866204;
11392;249959;1.2390749855742115E-4;1.092648601934277E-4;225467;902392;
11851;259961;1.2390749855742115E-4;1.0956596217697533E-4;234559;938756;
12310;269964;1.2410339038724158E-4;1.1192648716380722E-4;243696;975037;
12765;279969;1.2425830620396965E-4;1.1118231448492742E-4;252697;1011105;
13224;289963;1.2425830620396965E-4;1.0781965195178128E-4;261792;1047435;
13683;299959;1.243078288677706E-4;1.0814582613316316E-4;270941;1084155;
14143;309961;1.2504808075935507E-4;1.1182367726003179E-4;280028;1120569;
14599;319959;1.250480807593551E-4;1.1163467685524334E-4;288975;1156657;
15059;329975;1.256485501227449E-4;1.101557700159613E-4;298078;1193091;
15518;339963;1.256485501227449E-4;1.062450087439683E-4;307255;1229422;
15973;349958;1.256485501227449E-4;1.1136629954741604E-4;316304;1265516;
16433;359959;1.2630389540333739E-4;1.0718513387793022E-4;325540;1301870;
16893;369963;1.2630389540333739E-4;1.1510004496723369E-4;334609;1338335;
17353;379960;1.2630389540333739E-4;1.0983147624310947E-4;343664;1374790;
17810;389961;1.2630389540333739E-4;1.126729576723973E-4;352758;1410919;
18270;399966;1.2630389540333739E-4;1.1102695051396322E-4;361978;1447405;
18730;409972;1.2686489290503173E-4;1.1500885274173364E-4;371012;1483738;
19185;419964;1.2686489290503173E-4;1.1566417434413265E-4;380052;1519910;
19645;429969;1.2686489290503173E-4;1.132953862018028E-4;389133;1556400;
20105;439965;1.274371440195029E-4;1.1225502219591792E-4;398359;1592755;
20565;449970;1.274371440195029E-4;1.1369551217758817E-4;407434;1629256;
21021;459966;1.274371440195029E-4;1.0871506653267754E-4;416535;1665221;
21481;469967;1.274371440195029E-4;1.136726726412216E-4;425718;1701633;
21941;479968;1.274371440195029E-4;1.1174503876455124E-4;434732;1737946;
22398;489971;1.2876645566446348E-4;1.1683256357539319E-4;443895;1774071;
22858;499975;1.2876645566446348E-4;1.1292324656642945E-4;453015;1810366;
23317;509963;1.2878843224481819E-4;1.1834652199568948E-4;461971;1846858;
23777;519972;1.2878843224481819E-4;1.1450003815739648E-4;471029;1883334;
24234;529965;1.2878843224481819E-4;1.1477756409320082E-4;480104;1919417;
24693;539950;1.2878843224481819E-4;1.1232581729416588E-4;489069;1955720;
25154;549974;1.2878843224481819E-4;1.1177696230440816E-4;498123;1992042;
25609;559970;1.2878843224481819E-4;1.1299360887345433E-4;507005;2028148;
26069;569969;1.2878843224481819E-4;1.1486649002418348E-4;516159;2064572;
26529;579973;1.2878843224481819E-4;1.1326579835168418E-4;525242;2101093;
26989;589974;1.2878843224481819E-4;1.0858834185807285E-4;534292;2137550;
27445;599971;1.2878843224481819E-4;1.1215637534283621E-4;543290;2173718;
27905;609968;1.2878843224481819E-4;1.1362647180101204E-4;552375;2210063;
28365;619966;1.2878843224481819E-4;1.1543095787951128E-4;561249;2246503;
28821;629961;1.2878843224481819E-4;1.1313193976203567E-4;570287;2282705;
29281;639966;1.2878843224481819E-4;1.1118910455592145E-4;579380;2319123;
29741;649971;1.2878843224481819E-4;1.1624147572265639E-4;588409;2355448;
30200;659948;1.2878843224481819E-4;1.1317247304896116E-4;597484;2391786;
