iterations;timeInMSec;bestFitness;averageFitness;mutations;crossovers;
1;0;3.7063986673569415E-7;3.610866838817904E-7;0;0;
3;8175;3.7417478557352687E-7;3.6394563666211673E-7;62;222;
6;19773;3.7700163362347855E-7;3.675593554532182E-7;119;464;
8;27296;3.7707748957493826E-7;3.6939580105292783E-7;158;623;
11;38721;3.7956590262327867E-7;3.7232186513615703E-7;216;858;
14;49732;3.8178188754950504E-7;3.74172913725543E-7;267;1057;
16;57755;3.822769377751777E-7;3.7499793265538055E-7;308;1253;
19;69225;3.83503754731861E-7;3.767336479419578E-7;371;1480;
21;76922;3.847820840536463E-7;3.7752500368420134E-7;409;1634;
24;88425;3.874893634169744E-7;3.797604962687846E-7;467;1862;
27;99600;3.8897486529994865E-7;3.8141697848661776E-7;528;2097;
29;107633;3.8936358366504513E-7;3.8184056753484114E-7;564;2260;
32;119145;3.909972415926597E-7;3.842979501723261E-7;619;2507;
34;126846;3.920835508090084E-7;3.8541381044178953E-7;651;2665;
37;138401;3.954090478921814E-7;3.853166894779888E-7;711;2904;
40;149832;3.954387875783499E-7;3.8770746134480945E-7;779;3139;
42;157549;3.958284118667459E-7;3.8847550636977287E-7;819;3305;
45;169048;3.9778421463354305E-7;3.909909282125198E-7;872;3534;
47;176743;3.9778421463354305E-7;3.9100745481087103E-7;922;3701;
50;188262;3.9913540884278167E-7;3.920884951061634E-7;983;3942;
53;199837;4.015801375251339E-7;3.9315069286466586E-7;1044;4184;
55;207487;4.015801375251339E-7;3.938445441605783E-7;1088;4336;
58;218942;4.015801375251339E-7;3.9472220015100095E-7;1136;4567;
60;226588;4.043496048736092E-7;3.963698716302198E-7;1176;4726;
63;238158;4.059046791311335E-7;4.0010435897930616E-7;1240;4971;
66;249529;4.0680850994585815E-7;4.013631991107592E-7;1296;5205;
68;257160;4.088467569580202E-7;4.0209157294719153E-7;1328;5366;
71;268579;4.0965501149000394E-7;4.0366355588836263E-7;1390;5607;
74;279675;4.09853467548869E-7;4.049839389461971E-7;1447;5823;
