iterations;timeInMSec;bestFitness;averageFitness;mutations;crossovers;
1;0;3.7251217742308046E-7;3.6103683326103073E-7;0;0;
1;3022;3.7251217742308046E-7;3.6103683326103073E-7;83;416;
1;3022;3.7251217742308046E-7;3.6103683326103073E-7;83;416;
2;23171;3.730966288928709E-7;3.6227975588262326E-7;196;811;
2;23171;3.730966288928709E-7;3.6227975588262326E-7;196;811;
3;42654;3.739330940959253E-7;3.63192753427037E-7;312;1203;
3;42654;3.739330940959253E-7;3.63192753427037E-7;312;1203;
4;62727;3.7422113355473274E-7;3.638411488793833E-7;413;1594;
4;62727;3.7422113355473274E-7;3.638411488793833E-7;413;1594;
5;82868;3.77207692894396E-7;3.648437179897446E-7;498;1984;
5;82868;3.77207692894396E-7;3.648437179897446E-7;498;1984;
6;103143;3.77207692894396E-7;3.65268300410635E-7;585;2393;
6;103143;3.77207692894396E-7;3.65268300410635E-7;585;2393;
7;123606;3.7731597488675466E-7;3.661140103021215E-7;702;2800;
7;123606;3.7731597488675466E-7;3.661140103021215E-7;702;2800;
8;143283;3.7731597488675466E-7;3.664225189044913E-7;808;3200;
8;143283;3.7731597488675466E-7;3.664225189044913E-7;808;3200;
9;163258;3.7803150076010793E-7;3.6722246179137977E-7;899;3581;
9;163258;3.7803150076010793E-7;3.6722246179137977E-7;899;3581;
10;183425;3.787228073237113E-7;3.6771362441811126E-7;994;3975;
10;183425;3.787228073237113E-7;3.6771362441811126E-7;994;3975;
11;203738;3.7945425219850153E-7;3.678189475699052E-7;1086;4377;
11;203738;3.7945425219850153E-7;3.678189475699052E-7;1086;4377;
12;223026;3.7945425219850153E-7;3.6823961401516337E-7;1190;4770;
13;239571;3.801651711222275E-7;3.691704226351621E-7;1205;4823;
13;242418;3.801651711222275E-7;3.691704226351621E-7;1286;5172;
14;258876;3.843759775161575E-7;3.6970377383393735E-7;1318;5326;
14;261707;3.843759775161575E-7;3.6970377383393735E-7;1374;5579;
15;278200;3.843759775161575E-7;3.7001688943031097E-7;1425;5831;
15;280961;3.843759775161575E-7;3.7001688943031097E-7;1469;5976;
16;297519;3.8576585709843926E-7;3.705553075446661E-7;1550;6326;
16;300365;3.8576585709843926E-7;3.705553075446661E-7;1564;6386;
17;319782;3.857658570984395E-7;3.71743846580339E-7;1658;6793;
17;319782;3.857658570984395E-7;3.71743846580339E-7;1658;6793;
18;339292;3.857658570984395E-7;3.7192451149487605E-7;1748;7201;
18;339292;3.857658570984395E-7;3.7192451149487605E-7;1748;7201;
19;358744;3.857658570984395E-7;3.72583590833255E-7;1839;7599;
19;358744;3.857658570984395E-7;3.72583590833255E-7;1839;7599;
20;378109;3.8747236740811866E-7;3.7330593260787633E-7;1949;7993;
20;378109;3.8747236740811866E-7;3.7330593260787633E-7;1949;7993;
21;397555;3.8841853993160175E-7;3.740399630045113E-7;2053;8408;
21;397555;3.8841853993160175E-7;3.740399630045113E-7;2053;8408;
22;417083;3.8841853993160175E-7;3.7453337641786673E-7;2158;8815;
22;417083;3.8841853993160175E-7;3.7453337641786673E-7;2158;8815;
23;436451;3.8841853993160175E-7;3.7455740863344036E-7;2237;9211;
23;436451;3.8841853993160175E-7;3.7455740863344036E-7;2237;9211;
24;455872;3.8847989294115776E-7;3.755765457200566E-7;2338;9621;
24;455872;3.8847989294115776E-7;3.755765457200566E-7;2338;9621;
25;475252;3.890037962880477E-7;3.7580660502734296E-7;2428;10015;
25;475252;3.890037962880477E-7;3.7580660502734296E-7;2428;10015;
26;494941;3.890037962880481E-7;3.7683948274817844E-7;2515;10413;
26;494941;3.890037962880481E-7;3.7683948274817844E-7;2515;10413;
27;514740;3.8915187772785784E-7;3.7740242105691106E-7;2625;10816;
27;514740;3.8915187772785784E-7;3.7740242105691106E-7;2625;10816;
28;534545;3.907916970832875E-7;3.786422295822938E-7;2715;11220;
28;534545;3.907916970832875E-7;3.786422295822938E-7;2715;11220;
29;554070;3.9264885946500595E-7;3.7972859898097095E-7;2809;11597;
29;554070;3.9264885946500595E-7;3.7972859898097095E-7;2809;11597;
30;573704;3.9264885946500595E-7;3.805437728301464E-7;2916;11993;
30;573704;3.9264885946500595E-7;3.805437728301464E-7;2916;11993;
31;593445;3.9264885946500595E-7;3.8132946559354416E-7;3001;12409;
31;593445;3.9264885946500595E-7;3.8132946559354416E-7;3001;12409;
32;613187;3.938292315493766E-7;3.814288515108467E-7;3100;12808;
32;613187;3.938292315493766E-7;3.814288515108467E-7;3100;12808;
33;632866;3.938292315493766E-7;3.8227539002580127E-7;3193;13202;
34;649858;3.938292315493766E-7;3.828839081410396E-7;3198;13215;
34;652619;3.938292315493766E-7;3.828839081410396E-7;3287;13603;
35;669494;3.938292315493766E-7;3.8321417671971866E-7;3303;13670;
35;672211;3.938292315493766E-7;3.8321417671971866E-7;3377;14002;
36;689023;3.938292315493766E-7;3.840354806060738E-7;3416;14137;
36;691729;3.938292315493766E-7;3.840354806060738E-7;3485;14396;
37;708522;3.945769034725216E-7;3.847375163566302E-7;3533;14606;
37;711215;3.945769034725216E-7;3.847375163566302E-7;3577;14791;
38;728220;3.945769034725216E-7;3.8489694579183583E-7;3629;15043;
38;730940;3.945769034725216E-7;3.8489694579183583E-7;3654;15186;
39;747894;3.9647643463015524E-7;3.849042065213803E-7;3713;15482;
39;750615;3.9647643463015524E-7;3.849042065213803E-7;3739;15579;
40;767590;3.9647643463015524E-7;3.8494922944864855E-7;3825;15922;
40;770275;3.9647643463015524E-7;3.8494922944864855E-7;3838;15970;
41;787196;3.971723552471595E-7;3.85565540947309E-7;3938;16374;
41;789952;3.971723552471595E-7;3.85565540947309E-7;3938;16375;
42;809713;3.9791704750644115E-7;3.8613426861269673E-7;4037;16786;
42;809713;3.9791704750644115E-7;3.8613426861269673E-7;4037;16786;
43;829508;3.9791704750644115E-7;3.86648352499505E-7;4135;17196;
43;829508;3.9791704750644115E-7;3.86648352499505E-7;4135;17196;
44;849135;3.981383369873146E-7;3.872082963912311E-7;4246;17600;
44;849135;3.981383369873146E-7;3.872082963912311E-7;4246;17600;
45;868833;3.993054321590858E-7;3.8774156788024376E-7;4343;17998;
45;868833;3.993054321590858E-7;3.8774156788024376E-7;4343;17998;
46;888774;3.993054321590858E-7;3.8818286387114245E-7;4442;18421;
46;888774;3.993054321590858E-7;3.8818286387114245E-7;4442;18421;
47;908462;3.993054321590858E-7;3.8840225669226106E-7;4527;18823;
47;908462;3.993054321590858E-7;3.8840225669226106E-7;4527;18823;
48;928320;3.993054321590858E-7;3.8889577349938375E-7;4620;19232;
48;928320;3.993054321590858E-7;3.8889577349938375E-7;4620;19232;
49;947583;3.993054321590858E-7;3.891759944514565E-7;4737;19632;
49;947583;3.993054321590858E-7;3.891759944514565E-7;4737;19632;
50;967181;3.9986500557411854E-7;3.899972912956962E-7;4825;20033;
50;967181;3.9986500557411854E-7;3.899972912956962E-7;4825;20033;
51;986704;4.008421533304616E-7;3.9053772073542835E-7;4921;20439;
51;986704;4.008421533304616E-7;3.9053772073542835E-7;4921;20439;
