iterations;timeInMSec;bestFitness;averageFitness;mutations;crossovers;
1;0;1.481059763427361E-5;1.4093895071606467E-5;0;0;
12;9658;1.532826396987322E-5;1.4828444762111893E-5;217;957;
24;19949;1.572125831693868E-5;1.5268110426857247E-5;441;1886;
35;29393;1.5907760441853965E-5;1.565200495605957E-5;683;2758;
47;39674;1.6286109154063663E-5;1.5989237936030208E-5;894;3705;
59;49936;1.6696720764041933E-5;1.6325261389126666E-5;1110;4588;
70;59476;1.7223205858645713E-5;1.685617025801792E-5;1360;5522;
82;69743;1.772397252358883E-5;1.737477261240682E-5;1564;6472;
94;79940;1.801573927045623E-5;1.771801066309203E-5;1788;7362;
105;89453;1.826158478415536E-5;1.7963334740699227E-5;2026;8303;
117;99717;1.8611652606803896E-5;1.8318032860247468E-5;2266;9240;
129;109923;1.8941151735672435E-5;1.862572063709346E-5;2485;10142;
140;119429;1.9160934992312638E-5;1.880654364767901E-5;2732;11063;
152;129698;1.9391472328562897E-5;1.8991230156340436E-5;2994;12007;
164;139896;1.960971951825979E-5;1.9232015318322865E-5;3207;12930;
175;149392;1.9762283444898024E-5;1.9328111666692022E-5;3408;13820;
187;159644;2.0166022832777688E-5;1.9716971907406097E-5;3641;14754;
199;169931;2.030814771009389E-5;2.0087661774459785E-5;3900;15716;
210;179359;2.043246538944688E-5;2.0124473635800433E-5;4145;16602;
223;189884;2.0773134520587224E-5;2.0340554483879654E-5;4391;17637;
236;199426;2.1065687870545442E-5;2.062782968250142E-5;4655;18664;
250;209717;2.1242932476365103E-5;2.0892454688488147E-5;4911;19787;
264;219930;2.145236823419125E-5;2.111151875907419E-5;5174;20852;
277;229575;2.1722026699846333E-5;2.1286793671748466E-5;5458;21946;
291;239840;2.202591745655277E-5;2.1565816316788923E-5;5735;23040;
304;249425;2.2356940175510928E-5;2.191279453772799E-5;5989;24108;
318;259728;2.2516548537347485E-5;2.216499868140132E-5;6270;25239;
332;269938;2.2725000227250002E-5;2.2263570457601746E-5;6518;26288;
345;279565;2.293086756185715E-5;2.2378608512750383E-5;6775;27388;
359;289821;2.310206167418791E-5;2.2664337475308337E-5;7076;28479;
372;299357;2.326736105779009E-5;2.283030923187388E-5;7321;29498;
386;309615;2.337695004673055E-5;2.3092449676036274E-5;7583;30587;
400;319930;2.3616386749506656E-5;2.3188371921407485E-5;7852;31719;
413;329474;2.382049257920197E-5;2.334984752335446E-5;8116;32750;
427;339749;2.4005384887938054E-5;2.365240496818619E-5;8403;33858;
441;349915;2.4213297846324024E-5;2.3787630995422147E-5;8678;34890;
454;359498;2.4515331888563102E-5;2.4193235261553782E-5;8970;35925;
468;369716;2.4697504959259015E-5;2.4332661321359687E-5;9255;37010;
482;379946;2.483239375832814E-5;2.439222884595083E-5;9537;38115;
495;389461;2.5017549811192533E-5;2.458492528387501E-5;9788;39160;
509;399723;2.5297588178538235E-5;2.4815920643418616E-5;10055;40278;
523;409879;2.53936652962552E-5;2.4857296110687178E-5;10327;41371;
536;419428;2.557981772845079E-5;2.5046041787386147E-5;10579;42391;
550;429639;2.580876940690414E-5;2.523969763302329E-5;10852;43497;
564;439855;2.601021056826067E-5;2.5620885997465263E-5;11132;44607;
577;449403;2.6076217655059614E-5;2.5457145645711725E-5;11407;45645;
591;459628;2.6320250063431813E-5;2.5753138323898538E-5;11691;46773;
605;469841;2.6447176261437757E-5;2.5907664093389757E-5;11978;47878;
618;479352;2.6867131288923776E-5;2.6124670363652192E-5;12234;48939;
632;489569;2.6971567652243695E-5;2.6330620199302122E-5;12522;50046;
646;499766;2.7021622702486486E-5;2.652834374767584E-5;12760;51143;
660;509914;2.702676406391717E-5;2.659521124799746E-5;13004;52220;
673;519503;2.7186161591282178E-5;2.6664516898992475E-5;13293;53307;
687;529733;2.739251724085033E-5;2.6832260651186473E-5;13562;54428;
701;539937;2.7431651297626835E-5;2.674263360662795E-5;13836;55530;
714;549410;2.7611983158899247E-5;2.7076232420448382E-5;14111;56549;
728;559621;2.7690521866651324E-5;2.719102203322031E-5;14393;57657;
742;569831;2.7773904861044386E-5;2.7195836585232868E-5;14663;58762;
755;579333;2.786243313712608E-5;2.7342130862814915E-5;14899;59813;
769;589569;2.795568464869491E-5;2.732274671935628E-5;15215;60941;
783;599777;2.8101475552278292E-5;2.75321583705134E-5;15497;62055;
797;609923;2.825559559687404E-5;2.7632114228083483E-5;15756;63121;
810;619490;2.855339913940055E-5;2.784463249084789E-5;16024;64211;
824;629695;2.862927606867364E-5;2.8068130417928257E-5;16320;65310;
838;639889;2.882113488406412E-5;2.8189505521262506E-5;16600;66401;
851;649376;2.8930748467393623E-5;2.826563804917712E-5;16869;67430;
865;659619;2.8973481152171042E-5;2.8405281219237658E-5;17173;68559;
879;669823;2.9183072417210566E-5;2.851372052828226E-5;17437;69645;
