iterations;timeInMSec;bestFitness;averageFitness;mutations;crossovers;
1;0;1.491620523385775E-5;1.4100542675467759E-5;0;0;
3;8984;1.531457359326452E-5;1.4272291434266366E-5;324;1190;
5;17442;1.531457359326452E-5;1.4366023113100117E-5;536;2004;
8;29681;1.533803495231405E-5;1.4517002106119061E-5;810;3062;
10;38511;1.560930289477645E-5;1.4642283494957383E-5;1063;3980;
12;46971;1.570669444447935E-5;1.4754423877529295E-5;1246;4789;
15;59670;1.5709166770085353E-5;1.4808560241635704E-5;1533;6013;
17;68096;1.5745308921386497E-5;1.4899076093444103E-5;1708;6813;
19;76529;1.5745308921386497E-5;1.4954719296529795E-5;1917;7620;
22;88149;1.5806478126995563E-5;1.501264166811426E-5;2196;8844;
25;99213;1.5806478126995563E-5;1.5041573092874836E-5;2476;10029;
28;109913;1.5872955404614326E-5;1.5098480057269446E-5;2701;10867;
30;117682;1.587934240467235E-5;1.5111346439402991E-5;2977;12032;
33;128764;1.6085756384436726E-5;1.5182553225588258E-5;3249;13237;
36;139852;1.6219458354432153E-5;1.5284610792467898E-5;3538;14452;
38;147230;1.622982470490932E-5;1.533492079275431E-5;3759;15251;
41;158299;1.6406799371422698E-5;1.5425617204573503E-5;4072;16445;
44;169185;1.640679937142271E-5;1.5492241879608533E-5;4358;17658;
47;179668;1.6504760468061817E-5;1.5570518242678214E-5;4654;18747;
49;187307;1.6564985265445615E-5;1.5621449103348014E-5;4870;19664;
52;198177;1.6570573908570866E-5;1.5717667341417843E-5;5163;20864;
55;209050;1.661900888884309E-5;1.579593820068345E-5;5442;22070;
58;219933;1.6777031572695713E-5;1.5890569505417917E-5;5757;23291;
60;227159;1.6926849266745813E-5;1.6005666323610386E-5;5962;24079;
63;238015;1.6926849266745813E-5;1.609336272592883E-5;6272;25265;
66;248859;1.7066826867281526E-5;1.6203925036162938E-5;6581;26458;
69;259702;1.7066826867281526E-5;1.6249717818631148E-5;6869;27654;
71;266949;1.7148287760615374E-5;1.6324833976490986E-5;7072;28473;
74;277791;1.7148287760615398E-5;1.6456041409992036E-5;7375;29670;
77;288648;1.719261157832988E-5;1.6533027132424904E-5;7686;30884;
80;299480;1.7252224415555034E-5;1.6661289253968988E-5;8005;32075;
82;306737;1.7506389832288786E-5;1.6698940022056805E-5;8163;32910;
85;317638;1.7622847104883443E-5;1.6797369653862928E-5;8447;34110;
88;328490;1.7721535138614284E-5;1.688479913900445E-5;8738;35295;
91;339328;1.7744131749468457E-5;1.7023717343274336E-5;9067;36465;
94;349815;1.806730432206054E-5;1.7173477848321692E-5;9284;37410;
96;357429;1.806730432206054E-5;1.7267356620249443E-5;9528;38456;
99;368310;1.8138707421198204E-5;1.7388004983263558E-5;9835;39677;
102;379166;1.8268530592664035E-5;1.7525727770728673E-5;10149;40865;
105;389649;1.8489284904719176E-5;1.761629513358155E-5;10427;41987;
107;397245;1.8489284904719176E-5;1.7664039233728566E-5;10648;42851;
110;408092;1.8526230919834773E-5;1.775655315618004E-5;10968;44069;
113;418923;1.860045005648958E-5;1.7847434788779887E-5;11264;45272;
116;429764;1.865826895297632E-5;1.7921559909796705E-5;11569;46477;
118;436977;1.8716364353710836E-5;1.7972054238445983E-5;11779;47271;
121;447791;1.8778609211133155E-5;1.807596461231198E-5;12063;48449;
124;458663;1.8957899434410026E-5;1.8192017703514322E-5;12357;49654;
127;469509;1.913362194488676E-5;1.83004338953094E-5;12645;50862;
129;476760;1.913362194488677E-5;1.8360305724779328E-5;12844;51675;
132;487628;1.9220700540716737E-5;1.846388118462307E-5;13127;52882;
135;498497;1.9220700540716737E-5;1.8579044284319202E-5;13464;54090;
138;509372;1.936303364520727E-5;1.871692092050102E-5;13780;55304;
141;519856;1.945485170928382E-5;1.8785496349265912E-5;13978;56199;
143;527456;1.945485170928382E-5;1.8868199260018045E-5;14267;57281;
146;538328;1.9486097059470022E-5;1.892209189869103E-5;14546;58480;
149;549173;1.9592998559522753E-5;1.8992264243250945E-5;14849;59662;
152;559629;1.976200225444923E-5;1.9039465915082826E-5;15139;60785;
154;567191;1.9798106825832898E-5;1.9117604869517114E-5;15346;61609;
157;578007;1.998529881419228E-5;1.9178383196629875E-5;15662;62795;
160;588832;2.007721697649159E-5;1.9241748228313015E-5;15967;63991;
