iterations;timeInMSec;bestFitness;averageFitness;mutations;crossovers;
1;0;9.82812670303008E-8;9.344625348249651E-8;0;0;
2;9451;9.850979310480703E-8;9.379804463457123E-8;174;726;
3;19418;9.85524711588657E-8;9.431574602602882E-8;282;1210;
4;28736;9.934149503188216E-8;9.472637195780903E-8;382;1601;
5;38054;9.934149503188216E-8;9.498268748803668E-8;484;1993;
6;47403;9.934149503188216E-8;9.533668927908727E-8;597;2400;
7;56724;9.944748963707434E-8;9.559733875011251E-8;721;2796;
8;66045;9.944748963707434E-8;9.574658127293976E-8;834;3199;
9;75368;9.944748963707434E-8;9.572492088991797E-8;939;3601;
10;84718;9.944748963707434E-8;9.585748956417104E-8;1040;4012;
11;94106;1.000159125316838E-7;9.585065311371683E-8;1151;4417;
12;103438;1.000159125316838E-7;9.589572637099246E-8;1251;4803;
13;112765;1.000159125316838E-7;9.58870670121955E-8;1351;5207;
14;122105;1.0019743905365523E-7;9.59353464404022E-8;1454;5602;
15;131430;1.0019743905365523E-7;9.596496652263007E-8;1556;5988;
17;149487;1.0074033061566143E-7;9.639051616277436E-8;1728;6697;
18;159388;1.0074033061566143E-7;9.652538199182655E-8;1857;7179;
19;167524;1.0178649549706722E-7;9.662780587961553E-8;1949;7587;
20;175654;1.0328884063234254E-7;9.652260943767498E-8;2041;7993;
21;183794;1.0328884063234254E-7;9.655135567548217E-8;2151;8392;
23;199452;1.0328884063234254E-7;9.681153284022629E-8;2343;9121;
24;208177;1.0328884063234254E-7;9.699817702692127E-8;2475;9583;
25;216324;1.0328884063234254E-7;9.704094830808952E-8;2566;9989;
26;224515;1.0328884063234254E-7;9.709223445883744E-8;2668;10400;
27;232671;1.0328884063234254E-7;9.710207207179306E-8;2778;10808;
29;248918;1.0328884063234254E-7;9.761773513327095E-8;2993;11596;
30;257072;1.0335701518169854E-7;9.763132471220315E-8;3089;12003;
31;265181;1.0335701518169854E-7;9.774579321150227E-8;3194;12397;
32;273344;1.0382336821071742E-7;9.777620277161621E-8;3283;12807;
34;289632;1.0395910581446397E-7;9.787965288133526E-8;3498;13601;
35;297764;1.0395910581446397E-7;9.791122318492058E-8;3594;13999;
36;305893;1.0395910581446397E-7;9.794968679567934E-8;3692;14387;
37;314026;1.0395910581446397E-7;9.830075567809856E-8;3776;14787;
39;329680;1.0430462039219998E-7;9.850385793494581E-8;3927;15342;
40;339097;1.0472483915050143E-7;9.848443939494571E-8;4080;15980;
41;347866;1.0472483915050143E-7;9.85464739435599E-8;4177;16382;
42;356638;1.0472483915050143E-7;9.873601362593575E-8;4293;16787;
43;365395;1.0472483915050143E-7;9.899649181990571E-8;4387;17182;
44;374153;1.0487279925741669E-7;9.917800707951496E-8;4479;17580;
45;382946;1.0487279925741669E-7;9.928368994923766E-8;4587;17991;
47;399887;1.0487279925741669E-7;9.961063004321177E-8;4698;18438;
48;409262;1.0487279925741669E-7;9.977426538900339E-8;4884;19219;
49;418015;1.0494385241536147E-7;1.0003573243434141E-7;4998;19596;
50;426778;1.0494385241536147E-7;1.0026137502384024E-7;5089;19999;
51;435503;1.051480373961098E-7;1.0043689732552093E-7;5187;20379;
52;444286;1.0600828454743738E-7;1.0062158330065809E-7;5303;20792;
53;453060;1.0600828454743738E-7;1.0064933413861415E-7;5391;21190;
54;461818;1.0608930321712629E-7;1.0084197595534059E-7;5480;21596;
56;479350;1.068710839763054E-7;1.0103498760432067E-7;5688;22401;
57;488057;1.068710839763054E-7;1.0119861134573644E-7;5782;22791;
58;496827;1.068710839763054E-7;1.0126071348422077E-7;5896;23187;
59;505555;1.068710839763054E-7;1.0144380571349726E-7;5990;23581;
60;514315;1.0746249666328948E-7;1.0157467443144161E-7;6094;23971;
61;523100;1.0746249666328948E-7;1.0187372220916044E-7;6199;24380;
62;531861;1.0746249666328948E-7;1.0183651323644487E-7;6304;24764;
64;549393;1.0746249666328948E-7;1.0226781170264728E-7;6514;25567;
65;558128;1.0746249666328948E-7;1.0248080329007E-7;6630;25955;
66;566856;1.0750477966250379E-7;1.0269811619730398E-7;6739;26350;
67;575596;1.076505525272259E-7;1.0283294784268871E-7;6856;26749;
68;584391;1.076505525272259E-7;1.0303286255531746E-7;6960;27166;
69;593157;1.076505525272259E-7;1.032611147735575E-7;7061;27569;
70;601921;1.0799709876593875E-7;1.0336487261304176E-7;7170;27969;
72;619460;1.0887504748313008E-7;1.0350644305092809E-7;7382;28768;
73;628221;1.0887504748313008E-7;1.0358809870059273E-7;7495;29159;
74;636972;1.0887504748313008E-7;1.0368179612264016E-7;7607;29559;
75;645776;1.0887504748313008E-7;1.0380894190341794E-7;7716;29981;
76;654533;1.0893107353642661E-7;1.0393512822409077E-7;7811;30373;
77;663303;1.0893107353642661E-7;1.041056990718154E-7;7922;30777;
78;672047;1.0978659681311467E-7;1.0420964066164394E-7;8014;31156;
80;689544;1.0981302356104308E-7;1.0448017068712119E-7;8214;31936;
81;698329;1.0981302356104308E-7;1.0445798296253447E-7;8305;32348;
82;707126;1.1021411516581494E-7;1.0445860255460449E-7;8389;32755;
83;715919;1.1021411516581494E-7;1.0449397940507547E-7;8499;33162;
84;724704;1.1021411516581494E-7;1.0462623209011926E-7;8631;33548;
85;733489;1.1021411516581494E-7;1.0481932124937613E-7;8728;33951;
86;742291;1.1038627801424358E-7;1.0488055999434991E-7;8838;34358;
88;759856;1.1082811766975903E-7;1.0504591514065148E-7;9025;35154;
89;768634;1.1082811766975903E-7;1.0501864014526922E-7;9119;35564;
90;777418;1.1090119978462987E-7;1.052447688232327E-7;9210;35972;
91;786154;1.1111082716121948E-7;1.0552957763760279E-7;9310;36358;
92;794907;1.1111082716121948E-7;1.0551417658401262E-7;9396;36744;
93;803661;1.1188161493055676E-7;1.0585268047639865E-7;9496;37146;
94;812427;1.1201516057989352E-7;1.0605807814212658E-7;9591;37548;
96;829361;1.1201516057989352E-7;1.066566302999575E-7;9774;38340;
97;838751;1.1201516057989352E-7;1.068265771830955E-7;9861;38763;
98;847514;1.1204980210324201E-7;1.0714137689842281E-7;9948;39166;
99;856270;1.1204980210324201E-7;1.0724778441832209E-7;10042;39570;
100;865018;1.1262511805928001E-7;1.0738674441069453E-7;10136;39961;
101;873833;1.1262511805928001E-7;1.0762433133623348E-7;10242;40373;
102;882578;1.13262340498309E-7;1.0775771949412631E-7;10327;40762;
104;899550;1.1385097271994072E-7;1.0804564355040048E-7;10496;41432;
105;908958;1.1385097271994072E-7;1.0811495060227137E-7;10639;41976;
106;917739;1.1385097271994072E-7;1.0822470166331701E-7;10724;42382;
107;926511;1.1385097271994072E-7;1.081820121471475E-7;10817;42781;
108;935259;1.1385097271994072E-7;1.0828592285412841E-7;10910;43172;
109;944040;1.1385097271994072E-7;1.0821032343164102E-7;11025;43575;
110;952830;1.1385097271994072E-7;1.0815134456506143E-7;11137;43982;
112;969778;1.1385097271994072E-7;1.0800335014608652E-7;11268;44484;
113;979129;1.1385097271994072E-7;1.0800743755401951E-7;11429;45160;
114;987938;1.1385097271994072E-7;1.0782633130206632E-7;11517;45560;
115;996692;1.1385097271994072E-7;1.078994663504613E-7;11628;45946;
