iterations;timeInMSec;bestFitness;averageFitness;mutations;crossovers;
1;0;9.792431782003234E-8;9.364996221932529E-8;0;0;
6;9646;9.917851428403675E-8;9.633958165315795E-8;132;491;
11;19016;1.0100422440068134E-7;9.79610461911447E-8;236;897;
16;28365;1.0230224030653025E-7;9.851332484033542E-8;333;1314;
22;39589;1.0466136605689559E-7;1.0065939268321774E-7;450;1782;
27;48886;1.052893361486298E-7;1.0305912638120149E-7;551;2176;
33;59968;1.0635027035833979E-7;1.0426587972698262E-7;652;2591;
38;69303;1.0699515033781579E-7;1.0480339062709785E-7;758;3065;
43;78577;1.07595164156866E-7;1.0532616472339331E-7;860;3458;
49;89707;1.0806345745574099E-7;1.059150810647759E-7;969;3920;
54;98963;1.0869630198876189E-7;1.0622403165209318E-7;1071;4306;
59;108248;1.0871545729417663E-7;1.0652313363143045E-7;1170;4710;
65;119453;1.1017722447265324E-7;1.0698844812777868E-7;1293;5182;
70;128725;1.1098308595573418E-7;1.0849182321999761E-7;1393;5556;
76;139850;1.1250282100823678E-7;1.099302214088088E-7;1527;6035;
81;149089;1.1250282100823678E-7;1.1060227779886642E-7;1635;6416;
86;158299;1.1289017242506266E-7;1.1124353380718238E-7;1719;6804;
92;169446;1.1398196212652956E-7;1.118544404634749E-7;1851;7283;
97;178693;1.1474386358423341E-7;1.1243090153252196E-7;1951;7688;
103;189822;1.155606052972057E-7;1.1300441362628217E-7;2077;8170;
108;199094;1.1582315749679286E-7;1.1400717597049257E-7;2175;8565;
113;208362;1.1689852319757674E-7;1.1451664156255655E-7;2265;8976;
119;219510;1.1781675653532495E-7;1.1529790776970704E-7;2382;9450;
124;228826;1.180484652696103E-7;1.1585437823397469E-7;2471;9852;
130;239959;1.1813252792150896E-7;1.1607526079006886E-7;2586;10325;
135;249211;1.1851069505693077E-7;1.1623691211073117E-7;2681;10719;
140;258492;1.1867965560113382E-7;1.1682768640798586E-7;2782;11117;
146;269641;1.199073547814017E-7;1.1749555659125406E-7;2884;11583;
151;278706;1.206304048452891E-7;1.1820299199726468E-7;2988;11973;
157;289146;1.2118086389353147E-7;1.1936498905922126E-7;3109;12452;
163;299578;1.2131152313895992E-7;1.1981519588433928E-7;3229;12934;
169;309884;1.2218832446571933E-7;1.1966088950324623E-7;3344;13393;
174;318690;1.230383231156158E-7;1.200542912943304E-7;3441;13804;
180;329139;1.2348470376451762E-7;1.2083305294964483E-7;3560;14286;
186;339620;1.237207735963043E-7;1.2117831405375737E-7;3682;14761;
